auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,3.8,"Our Even Keel is a hoppy ale designed for smooth sailing. A full-flavored beer with a silky malt backbone and a bright hop profile of herbs and citrus, it packs all the taste of an IPA in  a session able alchohol content. This ale is perfect for leisurely days on the water, when all you want are a few beers and a level ride. ",51,https://untappd.akamaized.net/site/beer_logos/beer-6508_7178e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-6508_ec7b9_hd.jpeg,Even Keel,ballast-point-brewing-and-spirits-even-keel,IPA - Session / India Session Ale,6508,68,https://untappd.akamaized.net/site/brewery_logos/brewery-ballastpointbrewingcompany_68.jpeg,Ballast Point Brewing & Spirits,ballast-point-brewing-spirits,Macro Brewery,http://www.facebook.com/BallastPoint,bpbrewing,http://www.ballastpoint.com/,United States,San Diego,CA,32.8882,-117.158,,,"Wed, 13 Oct 2010 14:20:04 +0000",0,1,6508.0,"Sun, 14 Feb 2016 20:56:38 +0000",17722.0,53508,3.65899,,642,76413,59177,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 593928, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'ballast-point-brewing-spirits-keel-reserve', 'beer_name': 'Keel Reserve', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 802825, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'ballast-point-brewing-and-spirits-even-keel-session-ale-with-rum-soaked-oak-spirals', 'beer_name': 'Even Keel Session Ale With Rum Soaked Oak Spirals', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 815094, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'ballast-point-brewing-and-spirits-simcoe-wet-hop-even-keel', 'beer_name': 'Simcoe Wet Hop Even Keel', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 952541, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'ballast-point-brewing-and-spirits-even-keel-cask-w-ginger-cilantro-and-lime', 'beer_name': 'Even Keel Cask W/ Ginger Cilantro & Lime', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1139241, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'ballast-point-brewing-spirits-spiced-even-keel-session', 'beer_name': 'Spiced Even Keel Session', 'is_vintage': 0, 'is_variant': 1}}]",3.65895,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-1161659_2f032_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-1161659_bfc03_hd.jpeg,Spire Mountain Sparkling Pear,spire-mountain-spire-mountain-sparkling-pear,Cider,1161659,238402,https://untappd.akamaized.net/site/brewery_logos/brewery-238402_f7b82.jpeg,Spire Mountain,spire-mountain,Micro Brewery,https://www.facebook.com/spiremountain/,spiremountain,http://www.spiremountaincider.com/,United States,Olympia,WA,47.0379,-122.901,,,"Wed, 15 Jul 2015 01:38:22 +0000",0,1,1161659.0,"Thu, 19 May 2016 17:56:09 +0000",17723.0,3473,3.34308,,38,4537,3885,0,,,,,,,,,,,0.0,[],3.36793,False
0,6.5,"Traditional Norwegian farmhouse harvest ale.

This is our recreation of a traditional Norwegian farmhouse harvest ale. Farmers always served up refreshing harvest ale?s for thirsty workers. Our Hesje?l is a refreshing fruity and floral ale with a slight smoky and spicy flavour. A suped up harvest ale.",28,https://untappd.akamaized.net/site/beer_logos/beer-37462_dc142_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-37462_5d601_hd.jpeg,Hesje?l,haandbryggeriet-hesjeol,Spiced / Herbed Beer,37462,2206,https://untappd.akamaized.net/site/brewery_logos/brewery-HaandBryggeriet_2206.jpeg,HaandBryggeriet,haandbryggeriet,Micro Brewery,https://www.facebook.com/Haandbryggeriet-321958088808/,,http://www.haandbryggeriet.net,Norway,Drammen,,59.7414,10.231,,,"Tue, 15 Mar 2011 15:15:42 +0000",0,1,37462.0,"Tue, 14 Aug 2012 07:45:55 +0000",17724.0,6988,3.56057,,86,9485,7578,0,,,,,,,,,,,0.0,[],3.56435,False
0,5.8,"The fiercely floral and fragrant hop, known as the Earth Wolf by the Ancients, has been cunningly tamed with a soft, rich maltiness. Please drink respectfully",50,https://untappd.akamaized.net/site/beer_logos/beer-_17725_64f6fad1e0ee4557e68be8b6d675.jpeg,,Maximus Humulus Lupulus,hallertau-brewbar-restaurant-maximus-humulus-lupulus,IPA - American,17725,4792,https://untappd.akamaized.net/site/brewery_logos/brewery-HallertauBrewbarRestaurant_4792.jpeg,Hallertau Brewery,hallertau-brewery,Brew Pub,http://www.facebook.com/pages/Hallertau-Brewbar-Restaurant/98827796438,HallertauBeer,http://www.hallertau.co.nz,New Zealand,Auckland,,-36.7669,174.588,,,"Sun, 26 Dec 2010 16:16:14 +0000",0,1,,,,1069,3.88985,,25,1892,1272,0,,,,,,,,,,,0.0,[],3.83681,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Cascade Amber Ale,phantom-canyon-brewing-cascade-amber-ale,Red Ale - American Amber / Red,17726,4269,https://untappd.akamaized.net/site/brewery_logos/brewery-4269_ac18a.jpeg,Phantom Canyon Brewing,phantom-canyon-brewing,Micro Brewery,http://www.facebook.com/pages/Phantom-Canyon-Brewing-Company/35874977761,PhantomCanyon,http://www.phantomcanyon.com,United States,Colorado Springs,CO,38.8343,-104.825,,,"Sun, 26 Dec 2010 16:17:40 +0000",0,1,,,,65,3.3,,0,90,87,0,,,,,,,,,,,0.0,[],3.57972,False
0,8.5,"Collaboration beer brewed at Elysian Brewing with the New Belgium brewers. This trip produced a Black IPA. Trip VII is brewed with Mexican dark roast malt, Chilean roasted barley, Brazilian black sugar (in the boil), and bittered with Argentinean Cascade hops before finally being finished with aromatics, courtesy of El Dorado whole hops.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Trip VII - Black IPA,new-belgium-brewing-company-trip-vii-black-ipa,IPA - Black / Cascadian Dark Ale,76312,905,https://untappd.akamaized.net/site/brewery_logos/brewery-905_2ddc7.jpeg,New Belgium Brewing Company,new-belgium-brewing-company,Micro Brewery,http://www.facebook.com/newbelgium,newbelgium,http://www.newbelgium.com,United States,Fort Collins,CO,40.5934,-105.067,1.0,"[{'brewery': {'brewery_id': 7294, 'brewery_name': 'Elysian Brewing Company', 'brewery_type': 'Macro Brewery', 'brewery_label': 'https://untappd.akamaized.net/site/brewery_logos/brewery-7294_df657.jpeg', 'country_name': 'United States', 'location': {'brewery_city': 'Seattle', 'brewery_state': 'WA'}}}]","Fri, 02 Sep 2011 22:55:50 +0000",0,1,76312.0,"Tue, 16 Oct 2012 17:19:44 +0000",17727.0,24,3.5625,,0,70,66,0,,,,,,,,,,,0.0,[],3.64422,False
0,5.4,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Karlova?ko Svijetlo Pivo,karlovacko-pivovara-karlovacko-svijetlo-pivo,Lager - Pale,115947,7290,https://untappd.akamaized.net/site/brewery_logos/brewery-KarlovackoRallyBezalkoholno_7290.jpeg,Karlova?ka Pivovara (Heineken Hrvatska),karlovacka-pivovara-heineken-hrvatska,Micro Brewery,http://www.facebook.com/idemonakarlovacko,karlovacko,http://www.karlovacko.hr,Croatia,Karlovac,,45.4956,15.5331,,,"Mon, 02 Jan 2012 08:48:48 +0000",0,1,115947.0,"Mon, 02 Jan 2012 16:21:46 +0000",17728.0,0,0.0,True,0,0,0,0,,,,,,,,,,,0.0,[],0.0,False
0,6.9,"As the sun arcs low in the mid day sky, this year?s harvest is slowly fermenting in its winter slumber. Everyone here at the Orchard enjoys a few halcyon days to remember the hard work in the last year?s harvest. We look forward to next year?s crop of apples. To warm ourselves in the cold northern solstice we enjoy our winter cider. Lightly spiced with ethically traded cinnamon, vanilla and a wee drop of syrup from our old Maple trees on our farm. Enjoy this wonderful cider cool or gently warmed, savor a tipple to reflect on your last year and bountiful new year beginning. ",0,https://untappd.akamaized.net/site/beer_logos/beer-17729_b7528_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-17729_d596d_hd.jpeg,J.K.s Cuv?e Winterruption Farmhouse Hard Cider,j-k-s-farmhouse-ciders-j-k-s-cuvee-winterruption-farmhouse-hard-cider,Cider,17729,2931,https://untappd.akamaized.net/site/brewery_logos/brewery-2931_ae0e0.jpeg,J.K.'S Farmhouse Ciders,jks-farmhouse-ciders,Micro Brewery,https://m.facebook.com/JKS-Farmhouse-Ciders,Jksfarmciders,http://www.jksfarmhouseciders.com,United States,Flushing,MI,43.0294,-83.9175,,,"Sun, 26 Dec 2010 16:23:42 +0000",0,1,,,,4802,3.87792,,30,6613,5542,0,,,,,,,,,,,0.0,[],3.86436,False
0,5.5,2003 vintage bottles are 6% ABV.,0,https://untappd.akamaized.net/site/beer_logos/beer-_17730_c8b69ba21883ecf9ef7d078cad42.jpeg,,Etienne Dupont Cidre Bouch? Brut de Normandie,domaine-dupont-etienne-dupont-cidre-bouche-brut-de-normandie,Cider,17730,4744,https://untappd.akamaized.net/site/brewery_logos/brewery-4744_eb09b.jpeg,Domaine Dupont,domaine-dupont,Cidery / Meadery,http://www.facebook.com/pages/CALVADOS-DUPONT-Domaine-Familial-Louis-Dupont/468620015647,,http://www.calvados-dupont.com,France,Victot-Pontfol,Calvados,49.1741,0.0090257,,,"Sun, 26 Dec 2010 16:27:36 +0000",0,1,,,,4140,3.77512,,69,5412,4844,0,,,,,,,,,,,3.0,"[{'beer': {'bid': 360067, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'domaine-dupont-cidre-bouche-brut-de-normandie-2005', 'beer_name': 'Cidre Bouch? Brut De Normandie (2005)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1198173, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'domaine-dupont-cidre-bouche-brut-de-normandie-2014', 'beer_name': 'Cidre Bouche Brut De Normandie (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1214710, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'domaine-dupont-cidre-bouche-2014', 'beer_name': 'Cidre Bouch? (2014)', 'is_vintage': 1, 'is_variant': 0}}]",3.7666,False
0,6.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,L?bzer Urkraft,mecklenburgische-brauerei-lubz-carlsberg-group-lubzer-urkraft,Pilsner - Imperial / Double,17731,4794,https://untappd.akamaized.net/site/brewery_logos/brewery-4794_3efe2.jpeg,Mecklenburgische Brauerei L?bz,mecklenburgische-brauerei-lubz,Micro Brewery,http://www.facebook.com/luebzer,,http://www.luebzer.de,Germany,L?bz,,53.4617,12.0195,,,"Sun, 26 Dec 2010 16:31:26 +0000",0,1,,,,598,3.31355,,33,804,663,0,,,,,,,,,,,0.0,[],3.4275,False
