auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,7.0,Gold Medal winning American-style India Pale Ale that is guaranteed to satisfy the cravings of any hop-lover,60,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Lost Sailor,sullivan-s-black-forest-brew-haus-grill-lost-sailor,IPA - American,4853,1219,https://untappd.akamaized.net/site/brewery_logos/brewery-SullivansBlackForestBrewHausGrill_1219.jpeg,Sullivan's Black Forest Brew Haus & Grill,sullivan-s-black-forest-brew-haus-grill,Micro Brewery,http://www.facebook.com/sullivansblackforest?ref=ts,,http://www.blackforestbrewhaus.net/,United States,Frankenmuth,MI,43.3152,-83.7314,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,24,3.69792,0,52,38,0,,,,,,0.0,[],3.65365,False
0,4.2,"Put on your kilt and enjoy this roasted, dark, malty and slightly sweet beer.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Sully's Irish Stout,sullivan-s-black-forest-brew-haus-grill-sully-s-irish-stout,Stout - American,4854,1219,https://untappd.akamaized.net/site/brewery_logos/brewery-SullivansBlackForestBrewHausGrill_1219.jpeg,Sullivan's Black Forest Brew Haus & Grill,sullivan-s-black-forest-brew-haus-grill,Micro Brewery,http://www.facebook.com/sullivansblackforest?ref=ts,,http://www.blackforestbrewhaus.net/,United States,Frankenmuth,MI,43.3152,-83.7314,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,49,3.04082,0,62,61,0,,,,,,0.0,[],3.52981,False
0,5.3,Arrr this be a dark beer with strong notes of coffee and chocolate flavors.,25,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Pirate's Porter,sullivan-s-black-forest-brew-haus-grill-pirate-s-porter,Porter - American,4855,1219,https://untappd.akamaized.net/site/brewery_logos/brewery-SullivansBlackForestBrewHausGrill_1219.jpeg,Sullivan's Black Forest Brew Haus & Grill,sullivan-s-black-forest-brew-haus-grill,Micro Brewery,http://www.facebook.com/sullivansblackforest?ref=ts,,http://www.blackforestbrewhaus.net/,United States,Frankenmuth,MI,43.3152,-83.7314,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,124,3.59073,0,167,141,0,,,,,,0.0,[],3.6256,False
0,5.7,"The name says it all, you want German this is it.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Marzen,sullivan-s-black-forest-brew-haus-grill-marzen,M?rzen,4856,1219,https://untappd.akamaized.net/site/brewery_logos/brewery-SullivansBlackForestBrewHausGrill_1219.jpeg,Sullivan's Black Forest Brew Haus & Grill,sullivan-s-black-forest-brew-haus-grill,Micro Brewery,http://www.facebook.com/sullivansblackforest?ref=ts,,http://www.blackforestbrewhaus.net/,United States,Frankenmuth,MI,43.3152,-83.7314,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,20,3.175,0,24,23,0,,,,,,0.0,[],3.62042,False
0,9.0,Just like our Porter but multiplied by 10.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Strong Arm Ale,sullivan-s-black-forest-brew-haus-grill-strong-arm-ale,Porter - Imperial / Double,4858,1219,https://untappd.akamaized.net/site/brewery_logos/brewery-SullivansBlackForestBrewHausGrill_1219.jpeg,Sullivan's Black Forest Brew Haus & Grill,sullivan-s-black-forest-brew-haus-grill,Micro Brewery,http://www.facebook.com/sullivansblackforest?ref=ts,,http://www.blackforestbrewhaus.net/,United States,Frankenmuth,MI,43.3152,-83.7314,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,0,0.0,0,5,5,0,,,,,,0.0,[],3.59537,False
0,5.0,"Pete's Wicked Strawberry Blonde is truly a unique beer experience. Reward yourself with our golden lager made of the finest pale and wheat malts and Cluster Hops, with a kiss of natural strawberry flavor.",0,https://untappd.akamaized.net/site/beer_logos/beer-_4859_8691349da39718d7ed67968f5faf.jpeg,,Pete's Wicked Strawberry Blonde,pete-s-brewing-company-pete-s-wicked-strawberry-blonde,Fruit Beer,4859,978,https://untappd.akamaized.net/site/brewery_logos/brewery-PetesBrewingCompany_978.jpeg,Pete's Brewing Company,pete-s-brewing-company,Micro Brewery,,,http://www.petes.com,United States,San Antonio,TX,29.5762,-98.4772,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,528,3.24716,3,843,796,0,,,,,,0.0,[],3.39522,False
0,5.0,"The key ingredient to a good summer is a GREAT brew! Born to play, Pete's Wicked Rally Cap Ale is crafted with a special blend of pale and wheat malts, Mt. Hood hops and a smack of natural lemon. Get in the game... Get Wicked!",0,https://untappd.akamaized.net/site/beer_logos/beer-_4860_d8e7e0280d45ea6183fe1768f0d1.jpeg,,Pete's Rally Cap Ale,pete-s-brewing-company-pete-s-rally-cap-ale,Blonde Ale,4860,978,https://untappd.akamaized.net/site/brewery_logos/brewery-PetesBrewingCompany_978.jpeg,Pete's Brewing Company,pete-s-brewing-company,Micro Brewery,,,http://www.petes.com,United States,San Antonio,TX,29.5762,-98.4772,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,70,3.28929,0,118,115,0,,,,,,0.0,[],3.58284,False
0,5.6,"Pete's winter seasonal Wanderlust Cream Ale, is a velvety smooth brew offering endless fascination. Pete's Wicked Wanderlust Cream Ale is a light amber brew with a rhapsody of Cluster hops and select Munich and wheat malts. The rich, creamy taste invites you on a journey of wonderment and intrigue. Sit back. Enjoy the ride.",0,https://untappd.akamaized.net/site/beer_logos/beer-_4861_ba76e18070d6256e3059ef80fb8d.jpeg,,Pete's Wicked Wanderlust Cream Ale,pete-s-brewing-company-pete-s-wicked-wanderlust-cream-ale,Cream Ale,4861,978,https://untappd.akamaized.net/site/brewery_logos/brewery-PetesBrewingCompany_978.jpeg,Pete's Brewing Company,pete-s-brewing-company,Micro Brewery,,,http://www.petes.com,United States,San Antonio,TX,29.5762,-98.4772,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,50,3.35,0,82,78,0,,,,,,0.0,[],3.60793,False
0,9.0,"San Diego IPA, as it has come to be known by many, is pale in color, super-hoppy, high-gravity, yet a highly quaffable ale. Our Imperial IPA is created in this new tradition with intense hop flavors and aromas from a unique blend of Summit and Nugget hops. Reach for the summit. Challenge your palate. This big, bold IPA will thrill the adventurous beer lover. Unearth the savory pine, evergreen, and pineapple aromas and experience the refreshing rush of our hoppy, high gravity ale. One sip will send you soaring to new heights. Once you conquer the mountain, sit back and enjoy the brew.
",101,https://untappd.akamaized.net/site/beer_logos/beer-690295_fa78e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-690295_03c6c_hd.jpeg,Imperial IPA,green-flash-brewing-co-imperial-ipa,IPA - Imperial / Double,4862,609,https://untappd.akamaized.net/site/brewery_logos/brewery-609_22ae7.jpeg,Green Flash Brewing Company,green-flash-brewing-company,Micro Brewery,https://www.facebook.com/GreenFlashBrew,GreenFlashBeer,http://www.greenflashbrew.com,United States,San Diego,CA,32.9073,-117.178,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,32733,3.92054,356,47176,37077,0,,,,,,4.0,"[{'beer': {'bid': 693556, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-693556_793e6_sm.jpeg', 'beer_slug': 'green-flash-brewing-co-imperial-ipa-2014', 'beer_name': 'Imperial IPA (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 995468, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-693556_793e6_sm.jpeg', 'beer_slug': 'green-flash-brewing-co-imperial-ipa-2015', 'beer_name': 'Imperial IPA (2015)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1498948, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'green-flash-brewing-company-imperial-ipa-2013', 'beer_name': 'Imperial IPA (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1575135, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-690295_fa78e_sm.jpeg', 'beer_slug': 'green-flash-brewing-company-imperial-ipa-2016', 'beer_name': 'Imperial IPA (2016)', 'is_vintage': 1, 'is_variant': 0}}]",3.91804,False
0,5.4,"Swimming in a fresh water pool at the base of a cascading waterfall is what we all imagine we would find in paradise. On Maui, follow the old Hana Highway and you will find such a place ? Wailua Falls. This plunging cascade of clear water is the inspiration for our Limited Release Wailua Wheat Ale. This golden, sun colored ale has a bright, citrus flavor that comes from the tropical passion fruit we brew into each batch. Sit back, relax and enjoy paradise anytime.",15,https://untappd.akamaized.net/site/beer_logos/beer-_4863_sm_e35936a34ddc0c0ed2f40847fedd00.jpeg,,Wailua Wheat,kona-brewing-company-wailua-wheat,Pale Wheat Ale - American,4863,1988,https://untappd.akamaized.net/site/brewery_logos/brewery-konabrewingcompany_1988.jpeg,Kona Brewing Company,kona-brewing-company,Micro Brewery,https://www.facebook.com/KonaBrewingCo,KonaBrewingCo,http://konabrewingco.com/,United States,Kailua-Kona,HI,19.64,-155.997,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,27380,3.47898,1418,43312,31734,0,,,,,,0.0,[],3.48088,False
