auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.0,"Less hop flavor and bitterness than a Pilsner, the main highlight of the Helles is its bready, malty character. It?s malty, balanced, easy-drinking character has earned it the sobriquet ?liquid bread?, and it is often served for breakfast. Helles retains less alcohol than a pilsner, averaging between 4.5-5 percent; they are more full bodied than the Pilsner. Chuckanut Helles has won Gold medals from the NABA 2013, WA Beer Awards 2013, GABF 2011, Silver from the NABA 2011.",20,https://untappd.akamaized.net/site/beer_logos/beer-30402_34622_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-30402_ce385_hd.jpeg,Helles Lager,chuckanut-brewery-helles-lager,Lager - Helles,30402,8053,https://untappd.akamaized.net/site/brewery_logos/brewery-ChuckanutBrewery_8053.jpeg,Chuckanut Brewery,chuckanut-brewery,Micro Brewery,http://www.facebook.com/home.php?#/pages/Bellingham-WA/Chuckanut-Brewery-Kitchen/117134085071,ChuckanutBeer,http://chuckanutbreweryandkitchen.com/,United States,Bellingham,WA,48.7535,-122.485,,,"Sun, 13 Feb 2011 07:36:08 +0000",0,1,,,,626,3.68011,35,877,735,0,,,,,,0.0,[],3.67062,False
0,4.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-_30403_d799bf99449c41219f9a77aaea26.jpeg,,Quality Rye,lucky-labrador-brewing-company-quality-rye,Rye Beer,30403,3046,https://untappd.akamaized.net/site/brewery_logos/brewery-LuckyLabradorBrewingCompany_3046.jpeg,Lucky Labrador Brewing Company ,lucky-labrador-brewing-company,Brew Pub,http://www.facebook.com/pages/Lucky-Labrador-Brewing/152866061429741#!/pages/Lucky-Labrador-Brew-Pub/111732085529020,LuckyLabPDX,http://www.luckylab.com,United States,Portland,OR,45.4688,-122.709,,,"Sun, 13 Feb 2011 07:47:57 +0000",0,1,,,,189,3.20106,12,240,231,0,,,,,,0.0,[],3.47893,False
0,6.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Star Spangled Stout,rj-rockers-brewing-company-star-spangled-stout,Stout - American,30404,1669,https://untappd.akamaized.net/site/brewery_logos/brewery-RJRockersBrewingCo_1669.jpeg,RJ Rockers Brewing Company,rj-rockers-brewing-company,Micro Brewery,http://www.facebook.com/rjrockersbrewing,RJRockers,http://www.rjrockers.com,United States,Spartanburg,SC,34.9486,-81.9357,,,"Sun, 13 Feb 2011 07:56:59 +0000",0,1,,,,150,3.605,0,243,185,0,,,,,,0.0,[],3.62169,False
0,4.8,Martello Stout is uncompromisingly bold like the unique towers which once defended our maritime shores. Heavily roasted malts characterise this darkest of traditional brews.,25,https://untappd.akamaized.net/site/beer_logos/beer-30405_ddff6_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-30405_ca428_hd.jpeg,Martello Stout,garrison-brewing-company-martello-stout,Stout - Oatmeal,30405,1473,https://untappd.akamaized.net/site/brewery_logos/brewery-1473_1ed0b.jpeg,Garrison Brewing Company,garrison-brewing-company,Micro Brewery,http://www.facebook.com/pages/Garrison-Brewing-Co/184186131152,GarrisonBrewing,http://www.garrisonbrewing.com,Canada,Halifax,NS,44.6401,-63.5667,,,"Sun, 13 Feb 2011 07:57:39 +0000",0,1,,,,974,3.57059,26,1562,1118,0,,,,,,0.0,[],3.58979,False
0,7.75,"Brewed in the tradition of the clasic stouts shipped from the UK to Russia, this is a stron stout brewed with all English floor malted grain and noble hops",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Spinnakers Tsarist Imperial Stout,spinnakers-gastro-brewpub-spinnakers-tsarist-imperial-stout,Stout - Russian Imperial,30406,3383,https://untappd.akamaized.net/site/brewery_logos/brewery-3383_06d45.jpeg,Spinnakers Gastro Brewpub,spinnakers-gastro-brewpub,Micro Brewery,http://www.facebook.com/Spinnakersbrewpub,Spinnakers,http://www.spinnakers.com/,Canada,Victoria,BC,48.4293,-123.385,,,"Sun, 13 Feb 2011 08:02:14 +0000",0,0,,,,23,3.8913,0,45,37,0,,,,,,0.0,[],3.62271,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Sour Barrel Aged Hades,great-divide-brewing-company-sour-barrel-aged-hades,Sour - Ale,30407,604,https://untappd.akamaized.net/site/brewery_logos/brewery-604_621e5.jpeg,Great Divide Brewing Company,great-divide-brewing-company,Micro Brewery,http://www.facebook.com/greatdividebrew,greatdividebrew,http://greatdivide.com/,United States,Denver,CO,39.7538,-104.988,,,"Sun, 13 Feb 2011 08:04:09 +0000",0,1,,,,9,0.0,0,24,23,0,,,,,,0.0,[],3.53017,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,GrowHop Centennial IPA,phillips-brewing-company-growhop-centennial-ipa,IPA - American,31604,1472,https://untappd.akamaized.net/site/brewery_logos/brewery-PhillipsBrewingCompany_1472.jpeg,Phillips Brewing Company,phillips-brewing-company,Micro Brewery,http://www.facebook.com/phillipsbeer,phillipsbeer,http://phillipsbeer.com,Canada,Victoria,BC,48.4323,-123.367,,,"Sat, 19 Feb 2011 01:57:46 +0000",0,1,31604.0,"Mon, 16 Sep 2013 14:58:11 +0000",30408.0,17,3.67647,0,41,30,0,,,,,,0.0,[],3.64706,False
0,5.2,"High alpha hops Summit and Apollo combined with Crystal and Munich hops create a deep amber beer with a big hop profile.  Not quite and Amber, not quite an IPA, but a perfect mix of the two wildly popular styles.",55,https://untappd.akamaized.net/site/beer_logos/beer-30410_34c77_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-30410_11b4f_hd.jpeg,Flood Stage Red,calapooia-brewing-co-flood-stage-red,Red Ale - American Amber / Red,30410,2849,https://untappd.akamaized.net/site/brewery_logos/brewery-CalapooiaBrewingCo_2849.jpeg,Calapooia Brewing Co.,calapooia-brewing-co,Micro Brewery,http://www.facebook.com/pages/Calapooia-Brewing-Co/121414977872958,,http://calapooiabrewing.com,United States,Albany,OR,44.6393,-123.094,,,"Sun, 13 Feb 2011 08:30:05 +0000",0,1,,,,207,3.50604,12,255,237,0,,,,,,0.0,[],3.59247,False
0,0.0,"Because it's often surprisingly cold in spring, a nice warm Porter is just the ticket. Huge black malts celebrate the art of roasting, with a complex blend of chocolate and caramel malts. Dry, roasty, and full of flavour, it's what you need when stevedoring, digging hops rhizomes, or breaking out of the winter shell.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Hand Truck Porter,crannog-ales-hand-truck-porter,Porter - Other,30411,4651,https://untappd.akamaized.net/site/brewery_logos/brewery-CrannogAles_4651.jpeg,Crann?g Ales,crann-g-ales,Micro Brewery,http://www.facebook.com/pages/Crann?g-Ales/147130382004277,,http://www.crannogales.com/,Canada,Sorrento,BC,50.881,-119.507,,,"Sun, 13 Feb 2011 08:36:17 +0000",0,1,,,,95,3.81053,0,117,107,0,,,,,,0.0,[],3.67489,False
0,5.2,,5,https://untappd.akamaized.net/site/beer_logos/beer-30412_5d2b8_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-30412_34bec_hd.jpeg,Ctrl-Alt-Del,davidson-brothers-ctrl-alt-del,Altbier,30412,5744,https://untappd.akamaized.net/site/brewery_logos/brewery-DavidsonBrothers_5744.jpeg,Davidson Brothers,davidson-brothers,Micro Brewery,http://www.facebook.com/pages/Davidson-Brothers-Restaurant-Brewery/119713406234,,http://www.davidsonbrothers.com/,United States,Glen Falls,NY,40.8307,-74.1521,,,"Sun, 13 Feb 2011 08:48:57 +0000",0,1,,,,128,3.61719,0,193,174,0,,,,,,0.0,[],3.64085,False
