auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,12.0,"SPECIAL COMMEMORATIVE BEER

Former brewer Ken Pajak teamed up with MSBC to create a very special beer to celebrate the 10 years that he and wife Shauna have owned Caf?? Amsterdam. Since taking over this mid-town establishment, the Pajaks added a ???beer & wine license??? and subsequently transformed the European-style caf?? into a beer-centric place to grab breakfast, lunch, dinner and all beers during, around and between these fabulous meals. 

The cafe's beer menu is extensive and all-encompassing. The staff is knowledgeable and enthusiastic. And the beer pour is always right??? temperature, glass, presentation. 

???No hops were harmed in the brewing of this beer.??? 

Gruit is an old style???one that incorporates spices, herbs and fruit but no hops. The latter detail makes this style very rare in modern times. Caf?? Amsterdam???s Gruit is dark, strong and interesting. This combination of pale and dark malts, sage, thyme, cinnamon, black peppercorn and fresh orange peel composes distinctive, substantial flavors that meld together wonderfully. And at 12% ABV, this cellar-friendly ale is ready to lay you down! Thoroughly enjoy this old-world beer now but stash some away for later dwelvings. 

Availability: 
AK - 22-oz bottles (limited release begins 05/29/2009)",0,https://untappd.akamaized.net/site/beer_logos/beer-_5546_162fa42c8978529d0cd40657f662.jpeg,,Cafe Amsterdam's 10th Anniversary Gruit,midnight-sun-brewing-co-cafe-amsterdam-s-10th-anniversary-gruit,Gruit / Ancient Herbed Ale,5546,858,https://untappd.akamaized.net/site/brewery_logos/brewery-MidnightSunBrewingCo_858.jpeg,Midnight Sun Brewing Co.,midnight-sun-brewing-co,Micro Brewery,https://www.facebook.com/midnightsunbrewingcompany,MidSunBrewing,http://midnightsunbrewing.com/,United States,Anchorage,AK,61.1473,-149.844,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,24,4.05208,,0,32,29,0,,,,,,,0.0,[],3.67957,False
0,4.0,"A turn of the century pure malt, crisp lager. 1st Amendment Lager is made with European style hops and Munich malts. This beer has a wonderful, clean, crisp flavor certain to please all.",0,https://untappd.akamaized.net/site/beer_logos/beer-Wasatch1stAmendmentLager_5547.jpeg,,1st Amendment Lager,wasatch-brewery-1st-amendment-lager,Lager - American Light,5547,2599,https://untappd.akamaized.net/site/brewery_logos/brewery-2599_8aa6d.jpeg,Wasatch Brewery,wasatch-brewery,Micro Brewery,https://www.facebook.com/wasatchbeers,wasatchbeers,http://www.wasatchbeers.com/,United States,Park City,UT,40.6418,-111.494,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,1054,3.24858,,21,1443,1267,0,,,,,,,0.0,[],3.33909,False
0,4.0,"The legend begins here. In 1880 Speight?s enters it?s flagship ale into the Melbourne Exhibition. It cleans up, winning 2 gold medals and gets a new name; Gold Medal Ale is born. Speight?s is the beer of choice after a hard day?s work. Probably the least sweet of all New Zealand beers, this characteristic allows the full flavour of the malt and hops to shine through. Speight?s Gold Medal Ale is a great accompaniment to any meat dish and is superb with Southern game dishes such as venison, duck and rabbit.",0,https://untappd.akamaized.net/site/beer_logos/beer-5548_f1c5d_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5548_2e88d_hd.jpeg,Gold Medal Ale,speight-s-brewery-gold-medal-ale,Pale Ale - English,5548,4051,https://untappd.akamaized.net/site/brewery_logos/brewery-Speights_4051_ea94e.jpeg,Speight's Brewery,speight-s-brewery,Micro Brewery,,SpeightsBrewery,http://www.speights.co.nz/,New Zealand,,"Dunedin, 9016",-45.8748,170.498,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,4942,3.06758,,156,8717,5682,0,,,,,,,0.0,[],3.10159,False
0,5.5,"The flagship beer of Cooperstown Brewing Co. Old Slugger was the first beer brewed at CBC in July of 1995. This English-style pale ale is brewed with four barley malts, including two-row English pale malt and crystal malt, balanced with Mt. Hood, Cascade and Fuggle hops, and fermented in open vessels by Ringwood yeast (150 year old yeast strain brought over from England).",35,https://untappd.akamaized.net/site/beer_logos/beer-5549_eb902_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5549_6f1fa_hd.jpeg,Old Slugger Pale Ale,cooperstown-brewing-company-old-slugger-pale-ale,Pale Ale - English,5549,398,https://untappd.akamaized.net/site/brewery_logos/brewery-398_cd132.jpeg,Cooperstown Brewing Company,cooperstown-brewing-company,Micro Brewery,http://www.facebook.com/CooperstownBrewingCompany,coopbrewco,http://www.cooperstownbrewing.com/,United States,Milford New York 13807,NY,42.5893,-74.9403,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,2993,3.25643,,52,4004,3521,0,,,,,,,0.0,[],3.29302,False
0,4.9,"A rich golden ale, brewed with English 2-row pale, Munich, and Caramel malts provide a complexity that defines the malt-centered ale. Late addition  Cascade and Hallertau hops balance the malts and lend a delicate, floral character.  ""Nine Man Ale"" was first brewed as a summer seasonal beer in the summer of 1996. It was kegged that first season and then bottled starting in April 1997.",18,https://untappd.akamaized.net/site/beer_logos/beer-60734_60325_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-60734_7cef0_hd.jpeg,Nine Man Ale,cooperstown-brewing-company-nine-man-ale,Golden Ale,60734,398,https://untappd.akamaized.net/site/brewery_logos/brewery-398_cd132.jpeg,Cooperstown Brewing Company,cooperstown-brewing-company,Micro Brewery,http://www.facebook.com/CooperstownBrewingCompany,coopbrewco,http://www.cooperstownbrewing.com/,United States,Milford New York 13807,NY,42.5893,-74.9403,"Tue, 28 Jun 2011 20:38:25 +0000",0,1,60734.0,"Fri, 04 Nov 2011 03:08:25 +0000",5550.0,1799,3.25875,,9,2340,2097,0,,,,,,,0.0,[],3.31575,False
0,6.3,"A very smooth Porter brewed in accordance with the original ""high gravity"" porters of early London. More than 4% chocolate malt, which is most similar to the brown malts of the early 1700's, gives ""Benchwarmer"" its dry coffee-like finish. It is fermented with the Ringwood yeast which is an excellent yeast for the brewing of porters. The widely accepted theory of how porter got its name is that it was a very popular beer among the porters who hauled produce and goods around the marketplace or early industrialized London.",45,https://untappd.akamaized.net/site/beer_logos/beer-5551_6a7a9_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5551_736b4_hd.jpeg,Bench Warmer Porter,cooperstown-brewing-company-bench-warmer-porter,Porter - Other,5551,398,https://untappd.akamaized.net/site/brewery_logos/brewery-398_cd132.jpeg,Cooperstown Brewing Company,cooperstown-brewing-company,Micro Brewery,http://www.facebook.com/CooperstownBrewingCompany,coopbrewco,http://www.cooperstownbrewing.com/,United States,Milford New York 13807,NY,42.5893,-74.9403,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,1793,3.41941,,28,2387,2084,0,,,,,,,0.0,[],3.45315,False
0,4.6,"Strike Out Stout is brewed with six malts and flaked oats for a creamy smooth mouthfeel. Espresso, rich coffee, bitter chocolate, smoky, roasty tones come through. Full and rich, this beer pairs well with rich meats and chocolate or fruit desserts.",0,https://untappd.akamaized.net/site/beer_logos/beer-5552_e09c5_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5552_f9320_hd.jpeg,Strike Out Stout,cooperstown-brewing-company-strike-out-stout,Stout - Other,5552,398,https://untappd.akamaized.net/site/brewery_logos/brewery-398_cd132.jpeg,Cooperstown Brewing Company,cooperstown-brewing-company,Micro Brewery,http://www.facebook.com/CooperstownBrewingCompany,coopbrewco,http://www.cooperstownbrewing.com/,United States,Milford New York 13807,NY,42.5893,-74.9403,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,121,3.18388,,0,188,174,0,,,,,,,0.0,[],3.51759,False
0,6.0,"A golden India Pale Ale. Historically, ale shipped to India in the 19th Century was brewed to higher gravities so that it could mature during the long sea voyage. English brewers also hopped these ales heavily to protect them from spoiling. The term ""India Pale Ale"" or ""IPA"" is still used by brewers to denote a super-premium, hoppy pale ale style. Backyard IPA is no exception. A generous amount of Cascade hops defines the floral and citrusy character that dominates the beer. Additional Tettnang hops added directly to the fermenter bring an extra layer through the nose. Bitterness, although significant, is balanced with the sweeter two-row English pale malt, while Torrified Wheat provides a crisp refreshing feel.",48,https://untappd.akamaized.net/site/beer_logos/beer-5553_b6ebc_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5553_ca5be_hd.jpeg,Back Yard India Pale Ale,cooperstown-brewing-company-back-yard-india-pale-ale,IPA - English,5553,398,https://untappd.akamaized.net/site/brewery_logos/brewery-398_cd132.jpeg,Cooperstown Brewing Company,cooperstown-brewing-company,Micro Brewery,http://www.facebook.com/CooperstownBrewingCompany,coopbrewco,http://www.cooperstownbrewing.com/,United States,Milford New York 13807,NY,42.5893,-74.9403,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,2460,3.25102,,56,3233,2845,0,,,,,,,0.0,[],3.29525,False
0,7.1,"An English Old Ale, full of rich malt flavors and aromas. The use of both Crystal malts and CaraMunich malts provides a balanced sweetness with notes of caramel. Mt. Hood finishing hops round out the sweet malt aroma and flavors with a mild, earthy character. A subtle hint of alcohol can be tasted, but it is blended perfectly with the bold malt and hop flavors. This is a big bodied ale matched with a big, flavorful character.",0,https://untappd.akamaized.net/site/beer_logos/beer-5554_6b428_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5554_f1444_hd.jpeg,Pride of Milford Special Ale,cooperstown-brewing-company-pride-of-milford-special-ale,Strong Ale - English,5554,398,https://untappd.akamaized.net/site/brewery_logos/brewery-398_cd132.jpeg,Cooperstown Brewing Company,cooperstown-brewing-company,Micro Brewery,http://www.facebook.com/CooperstownBrewingCompany,coopbrewco,http://www.cooperstownbrewing.com/,United States,Milford New York 13807,NY,42.5893,-74.9403,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,977,3.47441,,7,1289,1166,0,,,,,,,0.0,[],3.51649,False
0,8.6,"This complex, double India Pale Ale has an intense citrus and floral hop aroma balanced by a velvety malt body which has been augmented with lactose milk sugar. With this different take on an IPA we have brewed an ale that is both pleasing to drink and, once again, ?not normal.? Cheers!",100,https://untappd.akamaized.net/site/beer_logos/beer-ApocalypseCow_5555.jpeg,,Apocalypse Cow,three-floyds-brewing-company-apocalypse-cow,IPA - Imperial / Double,5555,2470,https://untappd.akamaized.net/site/brewery_logos/brewery-2470_90eff.jpeg,3 Floyds Brewing Company,3-floyds-brewing-company,Micro Brewery,https://www.facebook.com/3floyds,3floyds,http://www.3floyds.com/,United States,Munster,IN,41.5355,-87.5167,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,22356,4.12975,,38,32586,24688,0,,,,,,,0.0,[],4.12329,False
