auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,4.8,"A unique blend of oats, organic coconut, three specialty ?biscuit? malts and 100% pure vanilla combine to provide a delicate vanilla aroma, a rich yet balanced coconut flavour and a smooth, creamy mouthfeel.",0,https://untappd.akamaized.net/site/beer_logos/beer-_29961_b048ccd7c2b5fe3494ce04958db8.jpeg,,Fanny Gertrude's Bickie Beer,burleigh-brewing-co-fanny-gertrude-s-bickie-beer,Cream Ale,29961,3168,https://untappd.akamaized.net/site/brewery_logos/brewery-3168_e412c.jpeg,Burleigh Brewing Co.,burleigh-brewing-co,Micro Brewery,http://www.facebook.com/BurleighBrewing,burleighbrewing,http://www.burleighbrewing.com,Australia,Burleigh Heads,QLD,-28.1031,153.413,,,"Sat, 12 Feb 2011 03:54:13 +0000",0,0,29961.0,"Wed, 31 Oct 2012 14:53:49 +0000",28716.0,31,3.08065,,0,80,67,0,,,,,,,,,,,,0.0,[],3.54051,False
0,9.4,"Barrel Aged Brrrbon is an imperial version of our Brrr Seasonal Ale aged in Kentucky Bourbon barrels. This smooth winter warmer combines a rich malty sweetness with complex oak, vanilla, and caramel characters that will continue to develop as the beer ages.",0,https://untappd.akamaized.net/site/beer_logos/beer-8580_c8cf7_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-8580_640fb_hd.jpeg,Barrel Aged Brrrbon,widmer-brothers-brewing-barrel-aged-brrrbon,Winter Warmer,8580,3028,https://untappd.akamaized.net/site/brewery_logos/brewery-3028_fdb36.jpeg,Widmer Brothers Brewing,widmer-brothers-brewing,Micro Brewery,http://www.facebook.com/WidmerBrothersBrewing,widmerbrothers,http://www.widmerbrothers.com,United States,Portland,OR,45.541,-122.676,,,"Thu, 11 Nov 2010 13:04:28 +0000",0,0,8580.0,"Thu, 01 Jan 1970 00:00:00 +0000",28717.0,6379,3.82219,,33,8050,7454,0,,,,,,,,,,,,5.0,"[{'beer': {'bid': 94521, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-BarrelAgedBrrrbon112011_94521.jpeg', 'beer_slug': 'widmer-brothers-brewing-barrel-aged-brrrbon-2011', 'beer_name': 'Barrel Aged Brrrbon  (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 108965, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-BarrelAgedBrrrbon102010_108965.jpeg', 'beer_slug': 'widmer-brothers-brewing-barrel-aged-brrrbon-2010', 'beer_name': 'Barrel Aged Brrrbon (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 167273, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-BarrelAgedBrrrbon122012_167273.jpeg', 'beer_slug': 'widmer-brothers-brewing-barrel-aged-brrrbon-2012', 'beer_name': 'Barrel Aged Brrrbon  (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 502836, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-502836_40381_sm.jpeg', 'beer_slug': 'widmer-brothers-brewing-barrel-aged-brrrbon-2009', 'beer_name': 'Barrel Aged Brrrbon (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 502966, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_502966_sm_8f2f81a8cb4f846f4f4e1e448a3a8c.jpeg', 'beer_slug': 'widmer-brothers-brewing-barrel-aged-brrrbon-2013', 'beer_name': 'Barrel Aged Brrrbon (2013)', 'is_vintage': 1, 'is_variant': 0}}]",3.81438,False
0,10.7,"Alaskan Barley Wine is a full bodied ale, deep mahogany in color and brewed with an array of complementing malts to achieve its high original gravity. Multiple hop additions in the boil and dry hopping during fermentation provide contrast to the big malt character resulting in the smooth balance that distinguishes this specialty brew. Like many fine wines, Alaskan Barley Wine may be aged in the bottle and gains deeper malt complexity and smoothness over time.
Alaskan Barley Wine Ale is made from glacier-fed water, a generous blend of the finest Pacific Northwest hop varieties and premium two-row and specialty malts. Our water originates in the 1,500 square-mile Juneau Ice Field and from more than 90 inches of rainfall each year.  ",0,https://untappd.akamaized.net/site/beer_logos/beer-AlaskanBarleywine_22303.jpeg,,Barley Wine Ale,alaskan-brewing-co-barley-wine-ale,Barleywine - American,22303,17,https://untappd.akamaized.net/site/brewery_logos/brewery-17_9a0f2.jpeg,Alaskan Brewing Co.,alaskan-brewing-co,Micro Brewery,http://www.facebook.com/AlaskanBrewingCo,alaskanbrewing,http://www.alaskanbeer.com/,United States,Juneau,AK,58.3568,-134.489,,,"Fri, 07 Jan 2011 10:53:14 +0000",0,1,22303.0,"Thu, 01 Jan 1970 00:00:00 +0000",28718.0,2089,3.8157,,0,2666,2452,0,,,,,,,,,,,,5.0,"[{'beer': {'bid': 42249, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_42249_sm_572167db81791fef33c7d4f60e24a5.jpeg', 'beer_slug': 'alaskan-brewing-co-barley-wine-ale-2008', 'beer_name': 'Barley Wine Ale (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 44122, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_44122_sm_4553666c8363a37d9630b894c7d164.jpeg', 'beer_slug': 'alaskan-brewing-co-barley-wine-ale-2009', 'beer_name': 'Barley Wine Ale (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 50003, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_50003_sm_1ab056aeb7a9305511e66963b26b46.jpeg', 'beer_slug': 'alaskan-brewing-co-barley-wine-ale-2007', 'beer_name': 'Barley Wine Ale (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 110870, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-BarleyWineAle2011PilotSeries_110870.jpeg', 'beer_slug': 'alaskan-brewing-co-barley-wine-ale-2011', 'beer_name': 'Barley Wine Ale (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 117840, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_117840_sm_a91009f5fc3a791f10aca432f6bb6f.jpeg', 'beer_slug': 'alaskan-brewing-co-barley-wine-ale-2010', 'beer_name': 'Barley Wine Ale (2010)', 'is_vintage': 1, 'is_variant': 0}}]",3.79462,False
0,9.3,"This deep orange monster is loosely filtered to keep the integrity of the malt & hops intact. Equal amounts of American 2-row malt and English pale malt are combined with Vienna and Rye malts, then balanced with Citra, Simcoe and Chinook hops for flavor. We then dry hop it with Cascade, Simcoe and Chinook hops for an intense hoppy aroma. Enjoy the massive aromatic Revelation and prophetic flavor of this beer now and forever after. ?Available in February
",100,https://untappd.akamaized.net/site/beer_logos/beer-Hopocalypse_28719.jpeg,,Hopocalypse Green Label,drake-s-brewing-company-hopocalypse-green-label,IPA - Imperial / Double,28719,464,https://untappd.akamaized.net/site/brewery_logos/brewery-464_df7ef.jpeg,Drake's Brewing Company,drake-s-brewing-company,Micro Brewery,https://www.facebook.com/DrakesBeer/,DrakesBeer,http://drinkdrakes.com/,United States,San Leandro,CA,37.7176,-122.182,,,"Sat, 05 Feb 2011 07:27:52 +0000",0,1,,,,15253,4.10172,,588,26003,16918,0,,,,,,,,,,,,4.0,"[{'beer': {'bid': 576704, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'drake-s-brewing-company-hopocalypse-with-grapefruit', 'beer_name': 'Hopocalypse with Grapefruit', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 600285, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'drake-s-brewing-company-hopocalypse-green-label-oaked', 'beer_name': 'Hopocalypse Green Label (Oaked)', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 962628, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-Hopocalypse_28719.jpeg', 'beer_slug': 'drake-s-brewing-company-hopocalypse-green-label-2015', 'beer_name': 'Hopocalypse (Green Label, 2015)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1937961, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'drake-s-brewing-company-drakes-hopocalypse-green-label-2017', 'beer_name': 'Hopocalypse Green Label (2017)', 'is_vintage': 1, 'is_variant': 0}}]",4.09288,False
0,4.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Lion Red,new-zealand-breweries-limited-lion-red,Lager - Pale,28721,911,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,New Zealand Breweries Limited,new-zealand-breweries-limited,Macro Brewery,,,http://www.lionco.com/,New Zealand,,,-25.4494,146.75,,,"Sat, 05 Feb 2011 07:32:01 +0000",0,1,,,,1181,2.62955,,43,1916,1490,0,,,,,,,,,,,,0.0,[],2.83922,False
0,5.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Cherry Bomb,true-south-cherry-bomb,Fruit Beer,28722,3239,https://untappd.akamaized.net/site/brewery_logos/brewery-TrueSouth_3239.jpeg,True South,true-south,Micro Brewery,http://www.facebook.com/pages/True-South/134341414170?v=wall,TrueSouthMawson,http://www.truesouth.com.au,Australia,Black Rock,VIC,-37.9757,145.016,,,"Sat, 05 Feb 2011 07:32:17 +0000",0,1,,,,4,0.0,,0,37,31,0,,,,,,,,,,,,0.0,[],3.53751,False
0,5.6,"Collaboration with Brew Boys.

Lobethal's Pale Ale brewed with quince.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Quince Ale,lobethal-bierhaus-quince-ale,Pale Ale - English,28723,3165,https://untappd.akamaized.net/site/brewery_logos/brewery-LobethalBierhaus_3165.jpeg,Lobethal Bierhaus,lobethal-bierhaus,Micro Brewery,http://www.facebook.com/pages/Lobethal-Bierhaus/117162848343130,,http://www.ahcb.com.au,Australia,Lobethal,SA,-34.9075,138.873,1.0,"[{'brewery': {'brewery_id': 5903, 'brewery_name': 'BrewBoys', 'brewery_type': 'Micro Brewery', 'brewery_label': 'https://untappd.akamaized.net/site/brewery_logos/brewery-BrewBoys_5903.jpeg', 'country_name': 'Australia', 'location': {'brewery_city': 'Croydon Park', 'brewery_state': 'SA'}}}]","Sat, 05 Feb 2011 07:36:41 +0000",0,1,,,,5,0.0,,0,48,44,0,,,,,,,,,,,,0.0,[],3.51755,False
0,5.4,The unique yeast strain used to ferment this beer adds a complex spiciness and a mild fruitiness. The wonderful aroma of hops peaks through as well in this amber belgian/american pale ale.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Havre Rouge,greenport-harbor-brewing-company-havre-rouge,Pale Ale - Belgian,28724,3505,https://untappd.akamaized.net/site/brewery_logos/brewery-GreenportHarbor_3505.jpeg,Greenport Harbor Brewing Company,greenport-harbor-brewing-company,Micro Brewery,http://www.facebook.com/pages/Greenport-Harbor-Brewing-co/59646913828,greenportbrew,http://www.harborbrewing.com,United States,Greenport,NY,41.1036,-72.3587,,,"Sat, 05 Feb 2011 07:37:04 +0000",0,0,,,,133,3.4812,,0,228,191,0,,,,,,,,,,,,0.0,[],3.59487,False
0,6.0,"St. Ides Malt Liquor is the brand of choice with the new generation of malt liquor drinkers. With its high quality, high strength flavor, St. Ides compliments the lifestyle of the fast paced, urban, edgy malt liquor drinker of today.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,St. Ides Special Brew Berry,st-ides-st-ides-special-brew-berry,Malt Liquor ,28725,963,https://untappd.akamaized.net/site/brewery_logos/brewery-pbr.jpg,Pabst Brewing Company,pabst-brewing-company,Macro Brewery,https://www.facebook.com/PabstBrewingCo,pabstblueribbon,http://www.pabstbrewingco.com,United States,Woodridge,IL,41.7181,-88.009,,,"Sat, 05 Feb 2011 07:38:37 +0000",0,1,,,,76,2.38487,,1,100,97,0,,,,,,,,,,,,0.0,[],3.39899,False
0,5.8,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Chocolate Chilli Porter,hunter-beer-co-chocolate-chilli-porter,Porter - Other,28726,2119,https://untappd.akamaized.net/site/brewery_logos/brewery-hunterbeerco_2119.jpeg,Hunter Beer Co,hunter-beer-co,Micro Brewery,http://www.facebook.com/pages/Hunter-Beer-Co/168789896471092,hunterbeerco,http://www.hunterbeerco.com,Australia,Nulkaba,NSW,-32.8022,151.349,,,"Sat, 05 Feb 2011 07:42:38 +0000",0,1,,,,1,0.0,,0,23,21,0,,,,,,,,,,,,0.0,[],3.59303,False
