auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,4.8,"Sweet, yet crisp hop aroma providing flavors of smooth malt and a lingering hop bitterness.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Pilsner,franconia-brewing-company-pilsner,Pilsner - Other,29708,7329,https://untappd.akamaized.net/site/brewery_logos/brewery-FranconiaBrewingCompany_7329.jpeg,Franconia Brewing Company ,franconia-brewing-company,Micro Brewery,,FranconiaBrew,http://www.franconiabrewing.com/,United States,McKinney,TX,33.2134,-96.6091,,,"Fri, 11 Feb 2011 02:54:15 +0000",0,1,,,,698,3.36569,,2,934,819,0,,,,,,0.0,[],3.45242,False
0,7.0,"Fisherman?s Pumpkin Stout is a dark stout accentuated by flavors of the Autumn season. Using real pumpkin, cinnamon, nutmeg and allspice, the Cape Ann Brewing Company took a fresh take at the common fall seasonal. This rich dark stout offers an inviting pumpkin spice aroma that gives way to the delicate essence of real pumpkin.",30,https://untappd.akamaized.net/site/beer_logos/beer-FishermansPumpkinStout_80174.jpeg,,Fisherman's Pumpkin Stout,cape-ann-brewing-company-fisherman-s-pumpkin-stout,Pumpkin / Yam Beer,80174,337,https://untappd.akamaized.net/site/brewery_logos/brewery-CapeAnnBrewingCompany_337.jpeg,Cape Ann Brewing Company,cape-ann-brewing-company,Micro Brewery,http://www.facebook.com/capeannbrewing,capeannbrewing,http://www.capeannbrewing.com/,United States,Gloucester,MA,42.6114,-70.6652,,,"Mon, 19 Sep 2011 21:06:20 +0000",0,1,80174.0,"Wed, 26 Oct 2011 03:43:29 +0000",29709.0,7105,3.57646,,18,9755,8009,0,,,,,,0.0,[],3.57953,False
0,5.0,"We named this Strange 'Cherry Cherry' because that's what it is. There's so much cherry in this beer even its foamy head is red! We start with a Dark Belgian Wheat recipe, cram it full of Montmorency Tart Cherry goodness, then age it with oak. The result is a cherry cherry lovers dream come true. Goes great with dark chocolate, with fudge brownies, with chocolate gateau, with cacao nibs, with...well you get the picture. And did we mention cherries?",15,https://untappd.akamaized.net/site/beer_logos/beer-29710_5cc6b_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-29710_da63c_hd.jpeg,Cherry Kriek,strange-brewing-company-cherry-kriek,Fruit Beer,29710,3153,https://untappd.akamaized.net/site/brewery_logos/brewery-3153_94c23.jpeg,Strange Craft Beer Company,strange-craft-beer-company,Micro Brewery,https://www.facebook.com/StrangeCraftBeer,StrangeCraftCo,http://strangecraft.com,United States,Denver,CO,39.7372,-105.015,,,"Fri, 11 Feb 2011 02:56:14 +0000",0,1,,,,4108,3.82278,,40,5737,4836,0,,,,,,0.0,[],3.81092,False
0,6.1,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Vanilla Rum Porter,strange-brewing-company-vanilla-rum-porter,Porter - Other,29711,3153,https://untappd.akamaized.net/site/brewery_logos/brewery-3153_94c23.jpeg,Strange Craft Beer Company,strange-craft-beer-company,Micro Brewery,https://www.facebook.com/StrangeCraftBeer,StrangeCraftCo,http://strangecraft.com,United States,Denver,CO,39.7372,-105.015,,,"Fri, 11 Feb 2011 02:57:02 +0000",0,1,,,,105,3.85238,,0,124,120,0,,,,,,0.0,[],3.69216,False
0,9.5,Clean black coffee flavor. ,0,https://untappd.akamaized.net/site/beer_logos/beer-AddictionCoffeeImperialStout_29712.jpeg,,Addiction Imperial Coffee Stout,mountain-sun-pub-brewery-addiction-imperial-coffee-stout,Stout - American Imperial / Double,29712,891,https://untappd.akamaized.net/site/brewery_logos/brewery-MountainSunPubBrewery_891.jpeg,Mountain Sun Pub & Brewery,mountain-sun-pub-brewery,Micro Brewery,http://www.facebook.com/mountainsunpub,mountainsunpub,http://www.mountainsunpub.com/,United States,Boulder,CO,40.019,-105.275,,,"Fri, 11 Feb 2011 03:00:30 +0000",0,1,,,,422,4.17832,,0,586,509,0,,,,,,0.0,[],3.95615,False
0,6.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Shark Bite Foreign Stout,mountain-sun-pub-brewery-shark-bite-foreign-stout,Stout - Foreign / Export,29732,891,https://untappd.akamaized.net/site/brewery_logos/brewery-MountainSunPubBrewery_891.jpeg,Mountain Sun Pub & Brewery,mountain-sun-pub-brewery,Micro Brewery,http://www.facebook.com/mountainsunpub,mountainsunpub,http://www.mountainsunpub.com/,United States,Boulder,CO,40.019,-105.275,,,"Fri, 11 Feb 2011 03:54:40 +0000",0,1,29732.0,"Sat, 10 Aug 2013 06:07:42 +0000",29713.0,150,3.69333,,0,205,183,0,,,,,,0.0,[],3.64301,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Raspberry Blonde,half-barrel-brewery-raspberry-blonde,Blonde Ale,29714,4279,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Half Barrel Brewery,half-barrel-brewery,Home Brewery,,,,United States,,,0.0,0.0,,,"Fri, 11 Feb 2011 03:07:40 +0000",1,1,,,,0,0.0,,0,1,1,0,,,,,,0.0,[],3.786,False
0,0.0,"Like the KBC Stumpgrinder Stout, but with added nitrogen & sweetness.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Stump Grinder Oatmeal Stout,keweenaw-brewing-company-stump-grinder-oatmeal-stout,Stout - Oatmeal,29715,1703,https://untappd.akamaized.net/site/brewery_logos/brewery-KeweenawBrewingCompany_1703.jpeg,Keweenaw Brewing Company,keweenaw-brewing-company,Micro Brewery,,,keweenawbrewing.com,United States,Houghton,MI,47.1219,-88.5689,,,"Fri, 11 Feb 2011 03:09:18 +0000",0,1,,,,132,3.55682,,2,188,154,0,,,,,,0.0,[],3.62252,False
0,9.1,"We get some help from our friends/neighbors at Sebastopol?s Hardcore Coffee just up the road. The coffee beans are freshly ground when we drop them into the brew kettle and whirlpool, giving that deep coffee flavor without taking away from that even deeper beer flavor.",29,https://untappd.akamaized.net/site/beer_logos/beer-LagunitasCappuccinoStout.jpg,,Cappuccino Stout,lagunitas-brewing-company-cappuccino-stout,Stout - American Imperial / Double,4472,765,https://untappd.akamaized.net/site/brewery_logos/brewery-765_b53eb.jpeg,Lagunitas Brewing Company,lagunitas-brewing-company,Micro Brewery,https://www.facebook.com/LagunitasBrewingCo,lagunitasbeer,http://www.LAGUNITAS.com/,United States,Petaluma,CA,38.2724,-122.662,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,4472.0,"Thu, 01 Jan 1970 00:00:00 +0000",29716.0,94939,3.82793,,770,129796,104672,0,,,,,,5.0,"[{'beer': {'bid': 133782, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-cappuccino-stout-2010', 'beer_name': 'Cappuccino Stout (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 133844, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-cappuccino-stout-2011', 'beer_name': 'Cappuccino Stout (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 265297, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-cappuccino-stout-2008', 'beer_name': 'Cappuccino Stout (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 275969, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-mocha-stout', 'beer_name': 'Mocha Stout', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 277292, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-277292_bf34c_sm.jpeg', 'beer_slug': 'lagunitas-brewing-company-cappuccino-stout-2012', 'beer_name': 'Cappuccino Stout (2012)', 'is_vintage': 1, 'is_variant': 0}}]",3.82736,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Laker Dort,upper-apts-home-brewery-laker-dort,Lager - Dortmunder / Export,29717,3310,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Upper Apts (Home)Brewery,upper-apts-home-brewery,Home Brewery,,,,United States,,,0.0,0.0,,,"Fri, 11 Feb 2011 03:16:29 +0000",1,1,,,,0,0.0,,0,3,1,0,,,,,,0.0,[],3.786,False
