auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.0,"A light copper body low bitterness with good hop flavor. This is my impression of what the English troops may have been drinking when they occupied India. The pale ale they drank had mellowed considerably. The wooden casks had spent many months traveling on ships and long inland journeys to the troops, where they were then tapped and enjoyed.",0,https://untappd.akamaized.net/site/beer_logos/beer-5645_e17a1_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5645_5d927_hd.jpeg,IPA,rock-art-brewery-ipa,IPA - American,5645,1062,https://untappd.akamaized.net/site/brewery_logos/brewery-RockArtBrewery_1062.jpeg,Rock Art Brewery,rock-art-brewery,Micro Brewery,http://www.facebook.com/pages/Rock-Art-Brewery/98108048941,RockArtBrewery,http://www.rockartbrewery.com/,United States,Morrisville,VT,44.558,-72.6088,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,2202,3.42961,6,3041,2625,0,,,,,,0.0,[],3.45659,False
0,8.0,"Gouden Carolus Hopsinjoor completes the taste pallet of our Carolus beers. ?Hopsinjoor? derived from ?Opsinjoor?, the typical character of Mechelen and also because of the use of 5 different kinds of hops. These hops are fractioned at a different time during the cooking process in order to conserve a maximum of aroma. 

Concerning the taste, the Ale has a gentle taste with a slightly bitter finish. Gouden Carolus Hopsinjoor was launched in 2008 on the Zythos Beer Festival and hit the mark: the visitors elected it as best beer, bringing Het Anker ?The Consumer?s trophy Zythos Beer Festival 2008?. 

The beer is bottled unfiltered in order to preserve the bitterness of the hop as much as possible.",50,https://untappd.akamaized.net/site/beer_logos/beer-5646_3f691_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5646_07393_hd.jpeg,Gouden Carolus Hopsinjoor,brouwerij-het-anker-gouden-carolus-hopsinjoor,IPA - Belgian,5646,284,https://untappd.akamaized.net/site/brewery_logos/brewery-284_c938f.jpeg,Brouwerij Het Anker,brouwerij-het-anker,Micro Brewery,http://www.facebook.com/hetanker,BreweryHetAnker,http://www.hetanker.be,Belgium,Mechelen,Antwerpen,51.0323,4.47285,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,23079,3.68246,654,30464,25219,0,,,,,,0.0,[],3.68205,False
0,7.07,This dark lager combines the characteristics of three winter beer styles. All three of these styles traditionally come from the colder harsher areas of Europe. The styles are (1) Black Beer (aka schwartzbier) originating from the former East Germany); (2) Rye Beer which at one time was only made in hardier areas of Eastern and Baltic Europe; and (3) Bock Beer which is widely known as a higher alcohol lager of Northern Germany. Our Black Rye Bock has a distinctive bitter chocolate palate and black color reminiscent of a black beer. The spiciness from the rye malt shines through in the flavor. The high alcohol balanced with malty sweetness rounds out this cold season bock. Smooth drinking with a punch makes this lager a perfect quaffer for our Arctic winter. ,20,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Black Rye Bock,glacier-brewhouse-black-rye-bock,Lager - Dark,5647,4123,https://untappd.akamaized.net/site/brewery_logos/brewery-GlacierBrewhouse_4123.jpeg,Glacier Brewhouse,glacier-brewhouse,Brew Pub,http://www.facebook.com/GlacierBrewHouse,GBrewHouseAK,http://www.glacierbrewhouse.com/,United States,Anchorage,AK,61.2178,-149.896,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,140,3.78929,1,173,160,0,,,,,,0.0,[],3.69427,False
0,5.0,"Dixie Blackened Voodoo Lager-Uses only the best of dark roasted barley malts to create a darkly rich and very malty flavor. With perfectly balanced Mt.Hood and Cascade hops and slow cold lagering, there is a touch of magical spirit, deep color, and bewitching character to this unique and mysterious brew.",0,https://untappd.akamaized.net/site/beer_logos/beer-BlackenedVoodoo_5648.jpeg,,Blackened Voodoo,dixie-brewing-co-blackened-voodoo,Lager - Dark,5648,454,https://untappd.akamaized.net/site/brewery_logos/brewery-DixieBrewingCo_454.jpeg,Dixie Brewing Co.,dixie-brewing-co,Micro Brewery,http://www.facebook.com/pages/Dixie-Brewing-Company/108791675829867,,,United States,New Orleans,LA,29.9606,-90.0871,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,17158,3.35899,193,22058,19504,0,,,,,,0.0,[],3.3641,False
0,7.0,"Terrapin Midnight Project Brew Two 2009. Sometime around midnight in a city nobody can agree on, the idea for Terrapin and Left Hand to brew a collaboration beer was born. Depth Charge is the second in the series of one-time releases between the two breweries. Be wary of the calm before the storm. This creamy, deeply delicious milk stout will seduce you into submission while the explosion of hand roasted gourmet espresso will blow you into next week. We Shall Drink in the breweries. We Shall Drink in the pubs, We Shall Drink the the comfort of our homes. We Shall Never Surrender.",0,https://untappd.akamaized.net/site/beer_logos/beer-terrapintDepthChargeEspressoMilkStout.jpg,,Depth Charge Espresso Milk Stout,terrapin-beer-co-depth-charge-espresso-milk-stout,Stout - Milk / Sweet,5649,1243,https://untappd.akamaized.net/site/brewery_logos/brewery-1243_f9dda.jpeg,Terrapin Beer Co. ,terrapin-beer-co,Micro Brewery,http://www.facebook.com/terrapinbeerco,TerrapinBeerCo,http://terrapinbeer.com/,United States,Athens,GA,33.9804,-83.3957,1.0,"[{'brewery': {'brewery_id': 779, 'brewery_name': 'Left Hand Brewing Company', 'brewery_type': 'Micro Brewery', 'brewery_label': 'https://untappd.akamaized.net/site/brewery_logos/brewery-779_9fb2f.jpeg', 'country_name': 'United States', 'location': {'brewery_city': 'Longmont', 'brewery_state': 'CO'}}}]","Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,154,4.04383,3,261,236,0,,,,,,0.0,[],3.78257,False
0,4.7,"Pours yellow with a white head. Grass, floral and grain aroma and flavors. Slightly sweet. Light body and lively carbonation. Refreshing. Floral finish.",0,https://untappd.akamaized.net/site/beer_logos/beer-5650_61154_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5650_cb5ac_hd.jpeg,Mythos,olympic-brewery-mythos,Lager - Pale,5650,3539,https://untappd.akamaized.net/site/brewery_logos/brewery-3539_8c87b.jpeg,Olympic Brewery,olympic-brewery,Micro Brewery,https://www.facebook.com/FixHellasBeer?fref=ts,,http://www.olympicbrewery.gr,Greece,???????,34100,38.4082,23.53,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,55022,3.00287,1603,83122,61873,0,,,,,,0.0,[],3.00646,False
0,7.7,A robust porter brewed with lots of chocolate malt and roasted barley. This gives the beer its nearly black color and coffee and dark chocolate flavors. These flavors are then tempered with the use of flaked oats which provide an almost creamy texture to the beer. The 7.7% abv is deceptive but is not completely unnoticed.,0,https://untappd.akamaized.net/site/beer_logos/beer-redBrickPorter.jpg,,Porter,red-brick-brewing-company-porter,Porter - American,5651,2038,https://untappd.akamaized.net/site/brewery_logos/brewery-2038_1e14c.jpeg,Red Brick Brewing Company,red-brick-brewing-company,Micro Brewery,http://www.facebook.com/RedBrickBrewingCompany,RedBrickBrewing,http://www.redbrickbrewing.com,United States,Atlanta,GA,33.8185,-84.4346,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,1128,3.61791,8,1757,1416,0,,,,,,0.0,[],3.62491,False
0,6.4,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Georgia Belgique,moon-river-brewing-company-georgia-belgique,IPA - Belgian,5652,882,https://untappd.akamaized.net/site/brewery_logos/brewery-MoonRiverBrewingCompany_882.jpeg,Moon River Brewing Company,moon-river-brewing-company,Brew Pub,https://www.facebook.com/MoonRiverBrewing,MoonRiverBrew,http://www.moonriverbrewing.com/,United States,Savannah,GA,32.0811,-81.0921,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,22,3.42045,0,28,28,0,,,,,,0.0,[],3.62213,False
0,7.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Tarleton's IPA 2012,moon-river-brewing-company-tarleton-s-ipa-2012,IPA - American,280604,882,https://untappd.akamaized.net/site/brewery_logos/brewery-MoonRiverBrewingCompany_882.jpeg,Moon River Brewing Company,moon-river-brewing-company,Brew Pub,https://www.facebook.com/MoonRiverBrewing,MoonRiverBrew,http://www.moonriverbrewing.com/,United States,Savannah,GA,32.0811,-81.0921,,,"Tue, 18 Dec 2012 16:45:29 +0000",0,0,280604.0,"Tue, 25 Aug 2015 17:42:20 +0000",5653.0,37,3.27027,0,52,50,0,,,,,,0.0,[],3.55908,False
0,5.8,"The Duck-Rabbit Schwarzbier is a refreshing summer lager (sometimes referred to as a ""black pils""). In true Duck-Rabbit fashion, we've made ours extra schwarzy! It's very dark and quite roasty. Lots of Hallertau hops give this brew an authentic German character. ABV: 5.8%",0,https://untappd.akamaized.net/site/beer_logos/beer-Schwarzbier_5654.jpeg,,Schwarzbier,the-duck-rabbit-craft-brewery-schwarzbier,Schwarzbier,5654,2682,https://untappd.akamaized.net/site/brewery_logos/brewery-2682_0f706.jpeg,The Duck-Rabbit Craft Brewery,the-duckrabbit-craft-brewery,Micro Brewery,https://www.facebook.com/duckrabbitbrewery,DuckRabbitBrew,http://www.duckrabbitbrewery.com/,United States,Farmville,NC,35.6003,-77.5971,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,4207,3.63246,29,5669,4830,0,,,,,,0.0,[],3.6337,False
0,6.1,"Smuttynose Pumpkin Ale is our homage to the craft and heritage of America's brewers. Recipes calling for the use of pumpkins in beer date back to early colonial times, when brewers sought to extend their supply of costly imported malt with locally grown ingredients, such as squash and ""pompions"".?

In that spirit, we brew our ale with the addition of pumpkin to the mash, along with traditional spices to create a delicious American original.

Color
Pale Hazy Gold

Malt Bill
North American 2-Row, Carastan, C-60

Hops
Bittering: Cascade, Flavoring: Cascade, Liberty

Other
Natural Pumpkin Puree, Cinnamon, Nutmeg and Cloves",45,https://untappd.akamaized.net/site/beer_logos/beer-5655_2fe33_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5655_ab554_hd.jpeg,Pumpkin Ale,smuttynose-brewing-co-pumpkin-ale,Pumpkin / Yam Beer,5655,1160,https://untappd.akamaized.net/site/brewery_logos/brewery-1160_6bec5.jpeg,Smuttynose Brewing Co.,smuttynose-brewing-co,Micro Brewery,http://www.facebook.com/Smuttynose,smuttynosebeer,http://www.smuttynose.com/,United States,Hampton,NH,42.9456,-70.8546,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,35891,3.29951,29,51363,40550,0,,,,,,2.0,"[{'beer': {'bid': 1720679, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'smuttynose-brewing-co-pumpkin-ale-2016', 'beer_name': 'Pumpkin Ale (2016)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1988077, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'smuttynose-brewing-co-pumpkin-ale-2014', 'beer_name': 'Pumpkin Ale (2014)', 'is_vintage': 1, 'is_variant': 0}}]",3.30248,False
0,11.9,"This kick ass American Barley Wine is all about hops ???Nugget, Chinook, Simcoe and Centennial. And, yeah, LoTs of ???em. OK???there???s a substantial malt base on which these juicy Pacific NW hops lie down and do their dirty work. Maybe that???s too much info???",0,https://untappd.akamaized.net/site/beer_logos/beer-BigSlick_5656.jpeg,,Big Slick,midnight-sun-brewing-co-big-slick,Barleywine - American,5656,858,https://untappd.akamaized.net/site/brewery_logos/brewery-MidnightSunBrewingCo_858.jpeg,Midnight Sun Brewing Co.,midnight-sun-brewing-co,Micro Brewery,https://www.facebook.com/midnightsunbrewingcompany,MidSunBrewing,http://midnightsunbrewing.com/,United States,Anchorage,AK,61.1473,-149.844,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,31,3.54839,1,49,48,0,,,,,,0.0,[],3.62846,False
0,10.0,"Every so often we brew this utopian stout that manifests flavors of caramel, chocolate and coffee. This silky smooth, motor-oil black brew clocks in at 10% ABV. 

Like the first stouts brewed for Russian Czars, this offering is big, bold and built to last. Grab a few for the cellar, a couple for your comrades and enjoy because?like those Czars of yesteryear?this beer won't be around for long. ",65,https://untappd.akamaized.net/site/beer_logos/beer-5657_98466_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5657_895c2_hd.jpeg,Russian Imperial Stout,otter-creek-brewing-otter-creek-wolaver-s-russian-imperial-stout,Stout - Russian Imperial,5657,959,https://untappd.akamaized.net/site/brewery_logos/brewery-959_b9838.jpeg,Otter Creek Brewing,otter-creek-brewing,Micro Brewery,http://www.facebook.com/OtterCreekBrewing,OtterCreekBeer,http://www.ottercreekbrewing.com/,United States,Middlebury,VT,44.0197,-73.1692,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,5340,3.89026,62,7268,6019,0,,,,,,3.0,"[{'beer': {'bid': 880555, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-880555_1f636_sm.jpeg', 'beer_slug': 'otter-creek-brewing-russian-imperial-stout-2012', 'beer_name': 'Russian Imperial Stout (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1401321, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1401321_17134_sm.jpeg', 'beer_slug': 'otter-creek-brewing-russian-imperial-stout-2013', 'beer_name': 'Russian Imperial Stout (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1901762, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1901762_b0b7c_sm.jpeg', 'beer_slug': 'otter-creek-brewing-russian-imperial-stout-2015', 'beer_name': 'Russian Imperial Stout (2015)', 'is_vintage': 1, 'is_variant': 0}}]",3.87729,False
0,7.4,"Each fall, we take your year-round favorite, Big Hop IPA, and do something special with it to celebrate the September hop harvest. There?s a small window where we can get fresh-picked, undried, locally grown hops to toss into the kettle. These ?wet hops? provide a truly unique flavor and aroma, almost like the smell of freshly cut grass ? if your lawn was completely planted with American hops! Available starting in late September/early October and lasting until it?s all gone.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Big Hop Harvest Ale,east-end-brewing-company-big-hop-harvest-ale,IPA - American,5658,476,https://untappd.akamaized.net/site/brewery_logos/brewery-476_c67cd.jpeg,East End Brewing Company,east-end-brewing-company,Brew Pub,http://www.facebook.com/EastEndBrewing,EastEndBrewing,http://www.EastEndBrewing.com,United States,Pittsburgh,PA,40.4553,-79.9043,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,2380,3.70557,1,3595,2683,0,5.8,Big Hop IPA,east-end-brewing-company-big-hop-ipa,5015.0,128.0,,,3.69933,False
