auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.1,This light and refreshing beer emulates the large lager breweries of North America. Lightly hopped and very drinkable. A beer for every occasion.,14,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Station House Blonde Ale,barley-station-brew-pub-shuswap-lake-brewing-company-station-house-blonde-ale,Blonde Ale,10994,3035,https://untappd.akamaized.net/site/brewery_logos/brewery-BarleyStationBrewPub_3035.jpeg,Barley Station Brew Pub (Shuswap Lake Brewing Company),barley-station-brew-pub-shuswap-lake-brewing-company,Brew Pub,http://www.facebook.com/pages/Barley-Station-Brew-Pub/163984426991787,,http://www.barleystation.com,Canada,Salmon Arm,BC,50.6997,-119.285,,,"Thu, 25 Nov 2010 14:38:19 +0000",0,1,,,,133,3.26128,6,160,150,0,,,,,,,,,,,0.0,[],3.53283,False
0,4.6,"This Pacific Northwest style pale ale is full flavoured all the way. A big bodied beer with huge hops throughout. Six different malts & 5 different hops added at 5 different stages throughout the boil, then dry-hopped to create a wonderfully fruity, flowery aroma.
",45,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Sam McGuire's Pale Ale,barley-station-brew-pub-shuswap-lake-brewing-company-sam-mcguire-s-pale-ale,Pale Ale - American,10976,3035,https://untappd.akamaized.net/site/brewery_logos/brewery-BarleyStationBrewPub_3035.jpeg,Barley Station Brew Pub (Shuswap Lake Brewing Company),barley-station-brew-pub-shuswap-lake-brewing-company,Brew Pub,http://www.facebook.com/pages/Barley-Station-Brew-Pub/163984426991787,,http://www.barleystation.com,Canada,Salmon Arm,BC,50.6997,-119.285,,,"Thu, 25 Nov 2010 13:45:48 +0000",0,1,10976.0,"Thu, 19 Apr 2012 02:52:42 +0000",10995.0,198,3.5202,8,254,225,0,,,,,,,,,,,0.0,[],3.59953,False
0,0.0,Dry hopped,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Amber,beercommdood-homebrew-amber,Red Ale - American Amber / Red,10996,2035,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Beercommdood Homebrew,beercommdood-homebrew,Home Brewery,,,,United States,,,0.0,0.0,,,"Thu, 25 Nov 2010 14:48:59 +0000",1,1,,,,0,0.0,0,5,3,0,,,,,,,,,,,0.0,[],3.786,False
0,5.5,"A handcrafted Ale with a blend of premium Pale Ale Malt, Bonlander and white wheat. The highest quality domestic and imported hops. Brewed to a mild, spicy bitter and soft, floral aroma, producing a crisp, clean golden ale that is medium in body and superior in taste.",0,https://untappd.akamaized.net/site/beer_logos/beer-_10997_sm_7dc518254f835a54741f4296cb6d6a.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_10997_hd_d3cad2119f5388e1166ef148d8dd37.jpeg,White Wolf Golden Ale,wolf-beer-company-white-wolf-golden-ale,Golden Ale,10997,3042,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Wolf Beer Company,wolf-beer-company,Micro Brewery,,,,United States,Wilmington,NC,34.2881,-77.919,,,"Thu, 25 Nov 2010 14:51:12 +0000",0,0,,,,20,3.225,0,38,36,0,,,,,,,,,,,0.0,[],3.56789,False
0,5.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Oat Stout,the-bier-brewery-oat-stout,Stout - Oatmeal,10998,3429,https://untappd.akamaized.net/site/brewery_logos/brewery-3429_ca84c.jpeg,The Bier Brewery,the-bier-brewery,Micro Brewery,http://www.facebook.com/pages/The-Bier-Brewery/142149049146462,thebierbrewery,http://www.bierbrewery.com/,United States,Indianapolis,IN,39.8757,-86.083,,,"Thu, 25 Nov 2010 14:57:56 +0000",0,1,,,,259,3.66313,0,380,298,0,,,,,,,,,,,0.0,[],3.64463,False
0,4.6,"Very pale straw with short lived white head. Not a lot of aroma - soft grain and maybe the slightest hint of grass. Medium body and nice mouth-filling carbonation. Flavour is pretty basic with some fairly pleasant soft light malt at the start, followed by some citrus tang and a hint of bitterness in the finish. Overall it is pleasant enough for an Asian pale lager - completely drinkable, and completely unmemorable.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Bia H? N?i,habeco-hanoi-alcohol-beer-and-beverage-company-bia-ha-noi,Lager - Pale,17374,3043,https://untappd.akamaized.net/site/brewery_logos/brewery-3043_73f17.jpeg,Habeco (Hanoi Alcohol Beer and Beverage Company),habeco-hanoi-alcohol-beer-and-beverage-company,Micro Brewery,,,http://www.habeco.com.vn,Vietnam,,,0.0,0.0,,,"Sat, 25 Dec 2010 23:34:03 +0000",0,1,17374.0,"Thu, 31 Jan 2013 20:22:33 +0000",10999.0,3332,2.7422,166,4870,3843,0,,,,,,,,,,,0.0,[],2.81863,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Maple Honey Porter,beercommdood-homebrew-maple-honey-porter,Other,11000,2035,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Beercommdood Homebrew,beercommdood-homebrew,Home Brewery,,,,United States,,,0.0,0.0,,,"Thu, 25 Nov 2010 15:06:46 +0000",1,1,,,,1,0.0,0,9,7,0,,,,,,,,,,,0.0,[],2.524,False
0,5.0,"Bavarian Style Wheat Beer. This beer has a large popularity in particular in southern Germany. Using an original German yeast strain in the brewing process contributes to the natural fruity flavor of Banana, Orange and Cloves, giving it a outstanding refreshing taste. Our Wheat Beer comes unfiltered leaving all the natural goodness in it.",0,https://untappd.akamaized.net/site/beer_logos/beer-11001_7c51f_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-11001_9ed17_hd.jpeg,Wheat,franconia-brewing-company-wheat,Hefeweizen,11001,7329,https://untappd.akamaized.net/site/brewery_logos/brewery-FranconiaBrewingCompany_7329.jpeg,Franconia Brewing Company ,franconia-brewing-company,Micro Brewery,,FranconiaBrew,http://www.franconiabrewing.com/,United States,McKinney,TX,33.2134,-96.6091,,,"Thu, 25 Nov 2010 15:10:49 +0000",0,1,,,,5635,3.45812,56,8542,6430,0,,,,,,,,,,,0.0,[],3.46805,False
0,6.2,"Tasting Notes:
Deep red in color, this ale starts off with a floral, slightly citrus hop nose, hop flavor soon fades into the malty backbone of this red ale.

8 Ingredients:
Carastan, Chocolate, Great Western 2-Row Malts; Amarillo, Perle & Cascade Hops; Rogue's Pacman Yeast & Free Range Coastal Water.

Food Pairing: Beef, Seafood 

HISTORY
Rogue's Northwestern Ale, brewed for Captain Sig Hansen joins the Rogue family of World Class Ales, Stouts, Porters, and Lagers. 

Dedicated to the Hansen Brothers--Sig, Edgar, and Norman--the Rogues of the Bering Sea.",80,https://untappd.akamaized.net/site/beer_logos/beer-CaptainSigsNorthwesternAle_11002.jpeg,,Captain Sig's Northwestern Ale,rogue-ales-captain-sig-s-northwestern-ale,Red Ale - American Amber / Red,11002,4565,https://untappd.akamaized.net/site/brewery_logos/brewery-rogue.jpg,Rogue Ales & Spirits,rogue-ales-spirits,Micro Brewery,https://www.facebook.com/RogueAlesSpirits/,rogueales,http://www.rogue.com/,United States,Newport,OR,44.6202,-124.052,,,"Thu, 25 Nov 2010 15:16:08 +0000",0,1,,,,12851,3.55313,19,16359,14690,0,,,,,,,,,,,0.0,[],3.5554,False
0,5.6,"A crisp, new, pilsner-style lager. It is pale-golden in color, featuring a spicy floral hop aroma, malty medium body, and a smooth, thirst quenching finish.",0,https://untappd.akamaized.net/site/beer_logos/beer-11003_07073_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-11003_7d661_hd.jpeg,Limited Edition Lager: LTD 03,full-sail-brewing-company-limited-edition-lager-ltd-03,Pilsner - Czech,11003,2531,https://untappd.akamaized.net/site/brewery_logos/brewery-2531_83630.jpeg,Full Sail Brewing Company,full-sail-brewing-company,Micro Brewery,https://www.facebook.com/pages/Full-Sail-Brewing-Company/60072986984,fullsailbrewing,http://www.fullsailbrewing.com,United States,Hood River,OR,45.7106,-121.516,,,"Thu, 25 Nov 2010 15:17:04 +0000",0,1,,,,1838,3.38602,0,2852,2200,0,,,,,,,,,,,0.0,[],3.42358,False
