auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.0," NOTE: This is A 5% ABV version brewed in Canada and sold in Canada & USA.This is different to the 5% ABV version sold in Continental Europe.

This is it, the one that started it all. Crafted to perfection for over 200 years.

Crack it open, and the first sip tastes as fresh as ever. 

The unmistakeable deep-dark colour. The crisp hint of roasted barley, the fresh breeze of hops. The refreshing bite. The bittersweet reward.

Pure beauty. Pure GUINNESS.

Please note the ABV for this particular product varies by region:

4.1% in Germany
4.2 or 4.3% ABV in Ireland and Europe
4.8% in Namibia and South Africa
5% in Continental Europe 
5% in the United States and Canada
6% in Australia and Japan",0,https://untappd.akamaized.net/site/beer_logos/beer-980458_36a3b_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-980458_cf157_hd.jpeg,Guinness Original Extra Stout (Canada / USA),guinness-guinness-original-extra-stout-canada-usa,Stout - Irish Dry,11093,49,https://untappd.akamaized.net/site/brewery_logos/brewery-49_a03fc.jpeg,Guinness,guinness,Macro Brewery,https://www.facebook.com/guinness,GuinnessIreland,http://www.guinness.com,Ireland,Dublin 8,,53.3177,-6.24094,,,"Fri, 26 Nov 2010 07:26:45 +0000",0,1,,,,70336,3.60684,,1292,118101,80926,0,4.2,Guinness Original (Europe),guinness-guinness-original-europe,80574.0,152.0,,,3.60703,False
0,5.6,,42,https://untappd.akamaized.net/site/beer_logos/beer-StumpKnockerPaleAle_11094.jpeg,,Stump Knocker Pale Ale,swamp-head-brewery-stump-knocker-pale-ale,Pale Ale - American,11094,3070,https://untappd.akamaized.net/site/brewery_logos/brewery-SwampHeadBrewery_3070.jpeg,Swamp Head Brewery,swamp-head-brewery,Micro Brewery,http://www.facebook.com/swamphead,SwampHead,http://swamphead.com,United States,Gainesville,FL,29.6242,-82.3884,,,"Fri, 26 Nov 2010 07:28:04 +0000",0,1,,,,7785,3.64477,,253,12998,8862,0,,,,,,0.0,[],3.645,False
0,8.3,,0,https://untappd.akamaized.net/site/beer_logos/beer-_11095_sm_224d1a0ec5483fd203b84f7ae524e9.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_11095_hd_6c6e388628ef30d29741e006a7180f.jpeg,Jupiler Tauro 8.3%,brasserie-piedboeuf-abinbev-jupiler-tauro-8-3,Lager - Euro Strong,11095,5460,https://untappd.akamaized.net/site/brewery_logos/brewery-5460_ec47d.jpeg,Brasserie Piedboeuf,brasserie-piedboeuf,Macro Brewery,,,,Belgium,Jupille,Li?ge,50.6478,5.63148,,,"Fri, 26 Nov 2010 07:28:42 +0000",0,1,,,,329,3.09271,,6,522,497,0,,,,,,0.0,[],3.36167,False
0,6.8,,76,https://untappd.akamaized.net/site/beer_logos/beer-11096_9d2a1_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-11096_99f36_hd.jpeg,Gathering Storm Cascadian Dark Ale,howe-sound-brewing-gathering-storm-cascadian-dark-ale,IPA - Black / Cascadian Dark Ale,11096,3609,https://untappd.akamaized.net/site/brewery_logos/brewery-HoweSoundBrewing_3609.jpeg,Howe Sound Brewing,howe-sound-brewing,Micro Brewery,http://www.facebook.com/HoweSoundBrewing,howesoundbeer,http://www.howesound.com,Canada,Squamish,BC,49.695,-123.156,,,"Fri, 26 Nov 2010 07:30:57 +0000",0,1,,,,756,3.6789,,6,1080,857,0,,,,,,0.0,[],3.67078,False
0,4.7,"Do not adjust your screen! Vedett Extra White is meant to be cloudy! And while this highly refreshing Belgian white ale may be hard to see through, she is a beer you can enjoy with all your (other) senses!

Revel in her refreshing citrus aromas with touches of coriander...

Feel the fulness of her smooth, grainy texture? And savour the subtle sweetness of her slightly perfumed, honey-like finish. All that remains is to listen to the sound of contentment as you open the next bottle!",4,https://untappd.akamaized.net/site/beer_logos/beer-11097_41743_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-11097_23f92_hd.jpeg,Vedett Extra White,duvel-moortgat-vedett-extra-white,Witbier,11097,167,https://untappd.akamaized.net/site/brewery_logos/brewery-DuvelMoortgat_167.jpeg,Duvel Moortgat,duvel-moortgat,Macro Brewery,https://www.facebook.com/Duvel.beer/,,http://www.duvel.com/en,Belgium,Puurs,Antwerpen,51.0421,4.32601,,,"Fri, 26 Nov 2010 07:33:35 +0000",0,1,,,,49057,3.5828,,1993,74795,54509,0,,,,,,2.0,"[{'beer': {'bid': 1495684, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-11097_41743_sm.jpeg', 'beer_slug': 'duvel-moortgat-vedett-extra-white-2016', 'beer_name': 'Vedett Extra White (2016)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 2014848, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-11097_41743_sm.jpeg', 'beer_slug': 'duvel-moortgat-vedett-extra-white-2017', 'beer_name': 'Vedett Extra White (2017)', 'is_vintage': 1, 'is_variant': 0}}]",3.58322,False
0,5.9,,0,https://untappd.akamaized.net/site/beer_logos/beer-WildNightHoneyCreamAle_11098.jpeg,,Wild Night Honey Cream Ale,swamp-head-brewery-wild-night-honey-cream-ale,Cream Ale,11098,3070,https://untappd.akamaized.net/site/brewery_logos/brewery-SwampHeadBrewery_3070.jpeg,Swamp Head Brewery,swamp-head-brewery,Micro Brewery,http://www.facebook.com/swamphead,SwampHead,http://swamphead.com,United States,Gainesville,FL,29.6242,-82.3884,,,"Fri, 26 Nov 2010 07:39:43 +0000",0,1,,,,7244,3.37966,,175,10337,8239,0,,,,,,0.0,[],3.39065,False
0,8.0,"A LAGER WITH A HARD BITE SHOULDN'T BE HARD TO DRINK. THAT'S WHY DOG BITE IS BREWED WITH SELECT HOPS AND MALTED BARLEY FOR A WELL-BALANCED, MELLOW TASTE THAT'LL HAVE HIGH-GRAVITY DRINKERS COMING BACK AGAIN AND AGAIN.",0,https://untappd.akamaized.net/site/beer_logos/beer-DogBiteHGLager_96041.jpeg,,Dog Bite High Gravity Lager,rock-wall-brewing-genesee-dog-bite-high-gravity-lager,Malt Liquor ,96041,3074,https://untappd.akamaized.net/site/brewery_logos/brewery-RockWallBrewingGenesee_3074_81c1a.jpeg,Rock Wall Brewing (Genesee),rock-wall-brewing-genesee,Micro Brewery,http://www.facebook.com/dogbitehg,dogbitehg,http://www.dogbitehg.com/,United States,Rochester,NY,43.161,-77.6109,,,"Sat, 05 Nov 2011 19:26:31 +0000",0,1,96041.0,"Tue, 04 Dec 2012 18:01:22 +0000",11099.0,1569,2.19933,,21,1996,1795,0,,,,,,0.0,[],2.43622,False
0,11.0,"A luxurious, warming barleywine rich with aromatic hops and dark, candied fruit character that hides its epic strength masterfully.",0,https://untappd.akamaized.net/site/beer_logos/beer-3828_61e1a_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-3828_4f121_hd.jpeg,Old Horizontal,victory-brewing-company-old-horizontal,Barleywine - American,3828,1326,https://untappd.akamaized.net/site/brewery_logos/brewery-1326_6ca88.jpeg,Victory Brewing Company,victory-brewing-company,Micro Brewery,https://www.facebook.com/victorybeer,VictoryBeer,http://victorybeer.com/,United States,Downingtown,PA,40.0061,-75.6942,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,3828.0,"Wed, 25 Jul 2012 21:21:25 +0000",11100.0,10945,3.78038,,123,14147,12464,0,,,,,,5.0,"[{'beer': {'bid': 218815, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2008', 'beer_name': 'Old Horizontal (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 234238, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2000', 'beer_name': 'Old Horizontal (2000)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 239381, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2001', 'beer_name': 'Old Horizontal (2001)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 247969, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2006', 'beer_name': 'Old Horizontal (2006)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 258128, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2010', 'beer_name': 'Old Horizontal (2010)', 'is_vintage': 1, 'is_variant': 0}}]",3.77686,False
0,10.5,"Imperial Porter aged with Whiskey infused oak chips! Winter Holiday seasonal.
",26,https://untappd.akamaized.net/site/beer_logos/beer-11101_3081e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-11101_bbf17_hd.jpeg,Whiskey Scented Santa,charleville-brewing-co-whiskey-scented-santa,Porter - Imperial / Double,11101,2022,https://untappd.akamaized.net/site/brewery_logos/brewery-charlevillevineyardsandmicrobrewery_2022.jpeg,Charleville Brewing Co.,charleville-brewing-co,Micro Brewery,http://www.facebook.com/pages/Charleville-Vineyard-Microbrewery/58567109268,CharlevilleBeer,http://www.charlevillevineyard.com/?location=microbrews,United States,Ste. Genevieve,MO,37.7535,-90.1488,,,"Fri, 26 Nov 2010 07:41:30 +0000",0,1,,,,1339,4.02072,,5,1863,1545,0,,,,,,3.0,"[{'beer': {'bid': 926205, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'charleville-brewing-co-whiskey-scented-santa-2014', 'beer_name': 'Whiskey Scented Santa (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1347664, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'charleville-brewing-co-whiskey-scented-santa-2015', 'beer_name': 'Whiskey Scented Santa (2015)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1847681, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'charleville-brewing-co-whiskey-scented-santa-2016', 'beer_name': 'Whiskey Scented Santa (2016)', 'is_vintage': 1, 'is_variant': 0}}]",3.95192,False
0,5.9,"A classic NW style IPA, Hop Diggidy has a smooth pale malt background and a full round hop profile. Dry hopping insures an aromatic and lasting hop finish. Our best selling ale.",70,https://untappd.akamaized.net/site/beer_logos/beer-15402_72450_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-15402_89f20_hd.jpeg,Hop Diggidy IPA,port-townsend-brewing-company-hop-diggidy-ipa,IPA - American,15402,5160,https://untappd.akamaized.net/site/brewery_logos/brewery-PortTownsendBrewingCompany_5160.jpeg,Port Townsend Brewing Company,port-townsend-brewing-company,Micro Brewery,http://www.facebook.com/porttownsendbrewing,ptbrewing,http://www.porttownsendbrewing.com,United States,Port Townsend,WA,48.1072,-122.781,,,"Sat, 18 Dec 2010 12:31:14 +0000",0,1,15402.0,"Sun, 08 Apr 2012 18:11:16 +0000",11102.0,2464,3.63028,,29,3502,2775,0,,,,,,0.0,[],3.63255,False
