auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,7.8,A big malty Pale Scotch Ale. Ample amounts of British Pale and crystal malted barley for rich bready and graham cracker flavors balanced by herbal British hops.,30,https://untappd.akamaized.net/site/beer_logos/beer-886173_7921b_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-886173_28d79_hd.jpeg,MacBison Scotch Ale,flying-bison-brewing-macbison-scotch-ale,Scotch Ale / Wee Heavy,886173,539,https://untappd.akamaized.net/site/brewery_logos/brewery-539_01254.jpeg,Flying Bison Brewing,flying-bison-brewing,Micro Brewery,http://www.facebook.com/flyingbisonbrewing,flyingbison,http://www.flyingbisonbrewing.com,United States,Buffalo,NY,42.8758,-78.8458,,,"Sat, 22 Nov 2014 22:28:42 +0000",0,1,886173.0,"Mon, 10 Apr 2017 19:13:54 +0000",28518.0,437,3.64645,,26,671,512,0,,,,,,,,,,,,0.0,[],3.64836,False
0,4.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Golden Ale,asda-golden-ale,Golden Ale,28519,28691,https://untappd.akamaized.net/site/brewery_logos/brewery-28691_ff8af.jpeg,Asda,asda,Bar / Restaurant / Store,,asda,http://www.asda.com/,England,,,0.0,0.0,1.0,"[{'brewery': {'brewery_id': 1132, 'brewery_name': 'Shepherd Neame', 'brewery_type': 'Micro Brewery', 'brewery_label': 'https://untappd.akamaized.net/site/brewery_logos/brewery-1132_9527c.jpeg', 'country_name': 'England', 'location': {'brewery_city': 'Faversham', 'brewery_state': 'Kent'}}}]","Fri, 04 Feb 2011 23:26:22 +0000",0,1,,,,1126,3.14232,,15,1345,1236,0,,,,,,,,,,,,0.0,[],3.25076,False
0,5.0,"This deep-amber-coloured ale contains a secret blend of malt and hops which gives a mouth-watering hop aroma, smooth and warming malt flavours and a deep, spicy hop finish.",28,https://untappd.akamaized.net/site/beer_logos/beer-ComfortablyNumb_28520.jpeg,,Comfortably Numb,triple-fff-brewery-comfortably-numb,Extra Special / Strong Bitter,28520,3129,https://untappd.akamaized.net/site/brewery_logos/brewery-TriplefffBrewery_3129.jpeg,Triple fff Brewery,triple-fff-brewery,Micro Brewery,http://www.facebook.com/triplefffbrewery,triplefffbrewer,http://www.triplefff.com,England,"Four Marks, Alton",Hampshire GU34 5HN,51.1126,-1.04599,,,"Fri, 04 Feb 2011 23:27:15 +0000",0,1,,,,378,3.5377,,3,525,444,0,,,,,,,,,,,,0.0,[],3.58832,False
0,8.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-_39587_sm_4e21b4c265498dfffb05995a0535a5.jpeg,,Imper Ale Ubi Rossa,fabbrica-della-birra-tenute-collesi-imper-ale-ubi-rossa,Red Ale - Imperial / Double,39587,4340,https://untappd.akamaized.net/site/brewery_logos/brewery-BirraCollesi_4340.jpeg,Fabbrica della Birra Tenute Collesi,fabbrica-della-birra-tenute-collesi,Micro Brewery,,,www.collesi.com/,Italy,Apecchio,PU,43.5371,12.4267,,,"Fri, 25 Mar 2011 16:31:32 +0000",0,1,39587.0,"Fri, 23 Dec 2011 04:03:20 +0000",28521.0,1060,3.53255,,24,1281,1209,0,,,,,,,,,,,,0.0,[],3.55904,False
0,7.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-_28522_sm_bf403e4e09aa0830fbacc15dbd788e.jpeg,,Imper Ale Fiat Lux Ambrata,fabbrica-della-birra-tenute-collesi-imper-ale-fiat-lux-ambrata,Red Ale - American Amber / Red,28522,4340,https://untappd.akamaized.net/site/brewery_logos/brewery-BirraCollesi_4340.jpeg,Fabbrica della Birra Tenute Collesi,fabbrica-della-birra-tenute-collesi,Micro Brewery,,,www.collesi.com/,Italy,Apecchio,PU,43.5371,12.4267,,,"Fri, 04 Feb 2011 23:43:07 +0000",0,1,,,,1043,3.45733,,38,1208,1160,0,,,,,,,,,,,,0.0,[],3.50117,False
0,6.75,"Malty, Roasty and Deceptively Smooth. It's an easy-drinking malty Copper Ale that goes easy on the hops. Originally called the Kronik, this beer was censored by the federal label-approving agency, the BATF ? they claimed the word had some sort of Marijuana reference. We slapped a ?Censored? sticker on it as a joke and they accepted it. Whatever. Net contents: Ounces and ounces of Malt, Hops, Yeast and water.",35,https://untappd.akamaized.net/site/beer_logos/beer-lagunitasCensored.jpg,,Censored Rich Copper Ale (aka The Kronik),lagunitas-brewing-company-censored-rich-copper-ale-aka-the-kronik,Red Ale - American Amber / Red,1071,765,https://untappd.akamaized.net/site/brewery_logos/brewery-765_b53eb.jpeg,Lagunitas Brewing Company,lagunitas-brewing-company,Micro Brewery,https://www.facebook.com/LagunitasBrewingCo,lagunitasbeer,http://www.LAGUNITAS.com/,United States,Petaluma,CA,38.2724,-122.662,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,1071.0,"Thu, 01 Jan 1970 00:00:00 +0000",28523.0,55537,3.60669,,470,78526,61880,0,,,,,,,,,,,,4.0,"[{'beer': {'bid': 78351, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-censored-ale-wet-hopped', 'beer_name': 'Censored Ale (Wet Hopped)', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 371518, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-smoked-kronik', 'beer_name': 'Smoked Kronik', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 486002, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-kronik-tea', 'beer_name': 'Kronik Tea', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 594824, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'lagunitas-brewing-company-manhattan-kronik', 'beer_name': 'Manhattan Kronik', 'is_vintage': 0, 'is_variant': 1}}]",3.60694,False
0,4.9,"GABF: 2013 Gold, 2015 Bronze in the Belgian-style Witbier category. 
Optimal? Wit is brewed in the Belgian Wit Bier tradition. It is brewed with raw wheat and oats, and steeped with coriander, orange peel and grains of paradise. This ale is a pale golden color with a bit of cloudy haze from natural yeast in the bottle. This unfiltered ale offers layers of complex, nuanced flavors that evolve in the glass. It finishes crisp and refreshes the palate.",15,https://untappd.akamaized.net/site/beer_logos/beer-28524_7b049_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-28524_97327_hd.jpeg,Optimal? Wit,port-city-brewing-optimal-r-wit,Witbier,28524,7771,https://untappd.akamaized.net/site/brewery_logos/brewery-7771_084be.jpeg,Port City Brewing,port-city-brewing,Micro Brewery,http://Facebook.com/portcitybrewing,PortCityBrew,http://www.portcitybrewing.com/,United States,Alexandria,VA,38.808,-77.1014,,,"Fri, 04 Feb 2011 23:48:07 +0000",0,1,,,,25979,3.61728,,973,41593,29419,0,,,,,,,,,,,,0.0,[],3.61767,False
0,7.7,"Ale with spices: Grains of paradise, ginger, coriander and sweet orange peel. Hearty and rustic golden ale. Full-bodied, hoppy and crisp. Hennepin was made to quench your thirst for the unknown.",24,https://untappd.akamaized.net/site/beer_logos/beer-402_b207b_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-402_bfb6b_hd.jpeg,Hennepin Farmhouse Saison,brewery-ommegang-hennepin-farmhouse-saison,Saison / Farmhouse Ale,402,249,https://untappd.akamaized.net/site/brewery_logos/brewery-249_20027.jpeg,Brewery Ommegang,brewery-ommegang,Micro Brewery,http://www.facebook.com/ommegang,BreweryOmmegang,http://www.ommegang.com/,United States,Cooperstown,NY,42.6818,-74.9255,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,402.0,"Thu, 01 Jan 1970 00:00:00 +0000",28525.0,102922,3.79172,,1506,157987,115749,0,,,,,,,,,,,,5.0,"[{'beer': {'bid': 633232, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewery-ommegang-hennepin-2010', 'beer_name': 'Hennepin (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 775037, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewery-ommegang-calypso-hennepin', 'beer_name': 'Calypso Hennepin', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 808828, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewery-ommegang-hennepin-triskel-dry-hopped', 'beer_name': 'Hennepin - Triskel Dry Hopped', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1157579, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewery-ommegang-hennepin-2007', 'beer_name': 'Hennepin (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1174036, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewery-ommegang-hennepin-2009', 'beer_name': 'Hennepin (2009)', 'is_vintage': 1, 'is_variant': 0}}]",3.79131,False
0,10.0,30 IBU,30,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Three Heavy Wee Heavy,dry-dock-brewing-co-three-heavy-wee-heavy,Scotch Ale / Wee Heavy,73857,1551,https://untappd.akamaized.net/site/brewery_logos/brewery-1551_e4a28.jpeg,Dry Dock Brewing Company,dry-dock-brewing-company,Micro Brewery,http://www.facebook.com/DryDockBrewing,DryDockBrewing,http://www.drydockbrewing.com,United States,Aurora,CO,39.653,-104.812,,,"Mon, 22 Aug 2011 19:53:37 +0000",0,1,73857.0,"Thu, 01 Jan 1970 00:00:00 +0000",28526.0,362,3.86395,,10,540,444,0,,,,,,,,,,,,0.0,[],3.76659,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Hope & Hops,willimantic-brewing-company-hope-hops,Pilsner - Other,28527,3713,https://untappd.akamaized.net/site/brewery_logos/brewery-3713_ccf68.jpeg,Willimantic Brewing Company,willimantic-brewing-company,Brew Pub,http://www.facebook.com/willibrew,willibrew,http://www.willibrew.com/,United States,Willimantic,CT,41.7128,-72.2173,,,"Sat, 05 Feb 2011 00:03:07 +0000",0,1,,,,15,3.63333,,0,20,20,0,,,,,,,,,,,,0.0,[],3.59952,False
