auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,4.0,A pale yellow lager that is very light in body yet with a good mouth feel from the flaked corn used during the brewing process.  A refreshing beer that is light on the palate that you can compare to your favorite premium domestic.  Pairs well with pretty much everything.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,All American Lager,gottberg-brew-pub-all-american-lager,Lager - American Light,492,590,https://untappd.akamaized.net/site/brewery_logos/brewery-GottbergBrewPub_590.jpeg,Gottberg Brew Pub,gottberg-brew-pub,Micro Brewery,https://www.facebook.com/GottbergBrew,GottbergBrewery,http://www.dustersrestaurant.com/brew_pub.htm,United States,Columbus,NE,41.4295,-97.3625,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,71,3.00352,0,129,116,0,0,[],3.52773,False
0,9.0,"The nose is filled with complex notes of figs, fruitcake, port, licorice, cherry, raisin chocolate, black toffee, coffee and caramel, while it tastes deliciously thick and chewy, with great complexity showing notes of fruits, coffee-roastiness, molasses, licorice, and toffee. This beer is a meal!
Editor's note. The draught version is 9% abv, but also contained under this listing. Edit #2 The bottles are now 9% as well (from 7%)",0,https://untappd.akamaized.net/site/beer_logos/beer-CuratorDunklerDoppelbock_493.jpeg,,Ettaler Curator Dunkler Doppelbock,klosterbrauerei-ettal-ettaler-curator-dunkler-doppelbock,Doppelbock ,493,511,https://untappd.akamaized.net/site/brewery_logos/brewery-EttalerKlosterbetriebeAbteilungBrauereiDestillerie_511.jpeg,Klosterbrauerei Ettal,klosterbrauerei-ettal,Micro Brewery,,,http://www.klosterbrauerei-ettal.de/,Germany,Ettal,,47.5687,11.0931,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,2741,3.76532,53,3421,3122,0,0,[],3.75381,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-KlosterDunkel_494.jpeg,,Ettaler Kloster Dunkel,klosterbrauerei-ettal-ettaler-kloster-dunkel,Lager - Dunkel Munich,494,511,https://untappd.akamaized.net/site/brewery_logos/brewery-EttalerKlosterbetriebeAbteilungBrauereiDestillerie_511.jpeg,Klosterbrauerei Ettal,klosterbrauerei-ettal,Micro Brewery,,,http://www.klosterbrauerei-ettal.de/,Germany,Ettal,,47.5687,11.0931,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,1451,3.74311,43,1829,1648,0,0,[],3.72702,False
0,5.2,,0,https://untappd.akamaized.net/site/beer_logos/beer-EttalerKlosterEdelHell_57165.jpeg,,Ettaler Kloster Edel Hell,klosterbrauerei-ettal-ettaler-kloster-edel-hell,Lager - Helles,57165,511,https://untappd.akamaized.net/site/brewery_logos/brewery-EttalerKlosterbetriebeAbteilungBrauereiDestillerie_511.jpeg,Klosterbrauerei Ettal,klosterbrauerei-ettal,Micro Brewery,,,http://www.klosterbrauerei-ettal.de/,Germany,Ettal,,47.5687,11.0931,"Sun, 12 Jun 2011 12:55:47 +0000",0,1,57165.0,"Mon, 26 Dec 2011 17:16:27 +0000",495.0,870,3.54684,33,1117,1000,0,0,[],3.57387,False
0,4.8,"Our Amber Ale is a full bodied, American-style amber with a rich copper color which comes from the roasted Amber and Munich malts. We use Cascade and Hallertauer Magnum hops to achieve the unique, fresh flavor and smooth finish that is long and complex on the palate. Originally brewed in 1989, this is our longest standing Signature beer. After all these years it?s still a brewery and regional favorite. A true beer drinker?s delight.",0,https://untappd.akamaized.net/site/beer_logos/beer-636753_23e63_sm.jpeg,,Amber Ale,grand-teton-brewing-amber-ale,Red Ale - American Amber / Red,636753,3284,https://untappd.akamaized.net/site/brewery_logos/brewery-grandtetonbrewingco_3284.jpeg,Grand Teton Brewing,grand-teton-brewing,Micro Brewery,http://www.facebook.com/grandtetonbrewingcompany,grandtetonbrew,http://grandtetonbrewing.com/,United States,Victor,ID,43.5928,-111.102,"Thu, 03 Apr 2014 17:40:19 +0000",0,1,636753.0,"Wed, 25 Mar 2015 02:43:01 +0000",496.0,4265,3.45615,32,5552,4812,0,0,[],3.46918,False
0,4.8,,0,https://untappd.akamaized.net/site/beer_logos/beer-FlensburgerPilsner_5311.jpeg,,Pilsener,flensburger-brauerei-emil-petersen-flensburger-pilsener,Pilsner - German,5311,534,https://untappd.akamaized.net/site/brewery_logos/brewery-FlensburgerBrauerei_534.jpeg,Flensburger Brauerei Emil Petersen,flensburger-brauerei-emil-petersen,Micro Brewery,,,www.flens.de,Germany,Flensburg,,54.779,9.43552,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,5311.0,"Thu, 01 Jan 1970 00:00:00 +0000",497.0,20084,3.28164,903,29620,22498,0,0,[],3.28718,False
0,7.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Nickel,brauhaus-joh-albrecht-nickel,Bock,103744,19503,https://untappd.akamaized.net/site/brewery_logos/brewery-19503_35b8b.jpeg,Brauhaus Joh. Albrecht,brauhaus-joh-albrecht,Micro Brewery,http://www.facebook.com/Brauhaus.Joh.Albrecht.Duesseldorf,,http://www.brauhaus-joh-albrecht.de,Germany,Hamburg,,53.5504,9.98984,"Mon, 28 Nov 2011 17:01:11 +0000",0,1,103744.0,"Tue, 29 Nov 2011 14:39:22 +0000",498.0,13,3.53846,0,16,16,0,0,[],3.63573,False
0,4.9,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Edel Pils,brauerei-leibinger-edel-pils,Pilsner - German,499,216,https://untappd.akamaized.net/site/brewery_logos/brewery-216_504b8.jpeg,Brauerei Max Leibinger,brauerei-max-leibinger,Micro Brewery,http://www.facebook.com/LeibingerBier,,https://www.leibinger.de/,Germany,88212 Ravensburg,BW,47.7818,9.62151,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,172,3.1686,9,252,195,0,0,[],3.47723,False
0,5.2,"Das Meckatzer Weiss-Gold steht f?r au?ergew?hnlichen Biergenuss. Wir brauen es seit ?ber 100 Jahren nach ?berlieferter Rezeptur aus Allg?uer Gebirgswasser und wertvollen, nat?rlichen Zutaten der Region aus kontrolliert-integriertem Anbau. 1905 wurde seine Eintragung als erste Allg?uer Biermarke beim Kaiserlichen Patentamt in Berlin beantragt. ?ber den Ursprung des Meckatzer Weiss-Gold wissen wir nur wenig ? es ist ein geheimnisvoller Gl?cksfall der Braukunst. In handwerklicher Tradition (Zweimaischverfahren, Hei?w?rzefiltration, kalte Reifung) gebraut, stellt es einen eigenen Biertyp dar und ist daher keiner Biersorte unterzuordnen. Seine Komposition ist so harmonisch, dass man sie ? Analysen und Experimente best?tigen es ? nicht verbessern kann. Es gilt daher als das Allg?uer Sonntagsbier.",0,https://untappd.akamaized.net/site/beer_logos/beer-WeissGold_500.jpeg,,Meckatzer Weiss-Gold,meckatzer-lowenbrau-meckatzer-weiss-gold,Lager - Helles,500,845,https://untappd.akamaized.net/site/brewery_logos/brewery-845_a8c3f.jpeg,Meckatzer L?wenbr?u,meckatzer-lowenbrau,Micro Brewery,https://www.facebook.com/Meckatzer.Fanpage,,http://www.meckatzer.de,Germany,Heimenkirch,,47.6308,9.8891,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,1861,3.38541,110,2761,2038,0,0,[],3.42287,False
0,5.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Zwickelbier,brauereigasthof-adler-zwickelbier,Kellerbier / Zwickelbier,501,225,https://untappd.akamaized.net/site/brewery_logos/brewery-BrauereigasthofAdler_225.jpeg,Brauereigasthof Adler Hundersingen,brauereigasthof-adler-hundersingen,Micro Brewery,,,http://www.adlerbrauerei.com,Germany,Hundersingen,,48.0778,9.3996,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,7,0.0,0,13,11,0,0,[],3.56185,False
