auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,8.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-SheepEater2009CellarReserve_29988.jpeg,,Sheep Eater (2009),grand-teton-brewing-sheep-eater-2009,Scotch Ale / Wee Heavy,29988,3284,https://untappd.akamaized.net/site/brewery_logos/brewery-grandtetonbrewingco_3284.jpeg,Grand Teton Brewing,grand-teton-brewing,Micro Brewery,http://www.facebook.com/grandtetonbrewingcompany,grandtetonbrew,http://grandtetonbrewing.com/,United States,Victor,ID,43.5928,-111.102,"Sat, 12 Feb 2011 05:07:05 +0000",0,0,29988.0,"Thu, 01 Jan 1970 00:00:00 +0000",21189.0,426,3.71655,,0,565,530,0,0,[],3.68898,False
0,5.3,,0,https://untappd.akamaized.net/site/beer_logos/beer-21190_363c1_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-21190_6acd1_hd.jpeg,Erdinger Kristall,erdinger-weissbrau-erdinger-kristall,Kristallweizen ,21190,1019,https://untappd.akamaized.net/site/brewery_logos/brewery-ErdingerWeissbrau_1019.jpeg,Erdinger Weissbr?u,erdinger-weissbra-u,Macro Brewery,http://www.facebook.com/erdinger.weissbier,,http://www.erdinger.de,Germany,Erding,,48.3153,11.8911,"Tue, 04 Jan 2011 16:35:08 +0000",0,1,,,,12689,3.38996,,333,15727,13993,0,0,[],3.39609,False
0,6.0,Dark Hefeweizen / Dark Wheat,18,https://untappd.akamaized.net/site/beer_logos/beer-DragonsBreathDarkHeff_21191.jpeg,,Dragon?s Breath Dark Heff,bayern-brewing-dragon-s-breath-dark-heff,Dunkelweizen,21191,89,https://untappd.akamaized.net/site/brewery_logos/brewery-89_b7bcb.jpeg,Bayern Brewing,bayern-brewing,Micro Brewery,http://www.facebook.com/Bayern.Brewing,,http://www.bayernbrewery.com,United States,Missoula,MT,46.8726,-114.02,"Tue, 04 Jan 2011 16:42:38 +0000",0,1,,,,3541,3.65779,,64,5267,3987,0,0,[],3.65725,False
0,4.3,"SA Gold is a full-flavoured, hoppy and refreshing golden ale. Careful use of hops creates a satisfying bitterness, perfectly balanced by vibrant citrus aromas and complex hop flavours from late-hopping using Cascade and Styrian Goldings. A deliciously satisfying and refreshing pint!

Cask ABV: 4.3%
Bottle/Can ABV: 4.7%",0,https://untappd.akamaized.net/site/beer_logos/beer-21192_86d0f_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-21192_673b5_hd.jpeg,SA Gold,brains-sa-gold,Golden Ale,21192,3779,https://untappd.akamaized.net/site/brewery_logos/brewery-3779_b9620.jpeg,Brains,brains,Micro Brewery,http://www.facebook.com/brainsbrewery,brainsbrewery,http://www.sabrain.com,Wales,Cardiff,Cardiff,51.4736,-3.17906,"Tue, 04 Jan 2011 16:50:20 +0000",0,1,,,,3772,3.40184,,63,6082,4203,0,0,[],3.42048,False
0,5.6,,0,https://untappd.akamaized.net/site/beer_logos/beer-21193_100fe_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-21193_22882_hd.jpeg,Ramnesia,pen-lon-cottage-ramnesia,Strong Ale - English,21193,6041,https://untappd.akamaized.net/site/brewery_logos/brewery-6041_6e98b.jpeg,Pen-lon Cottage Brewery,penlon-cottage-brewery,Micro Brewery,https://www.facebook.com/pages/Penlon-Cottage-Brewery/448816475206172?fref=ts,,,Wales,Llanarth,"Cardiganshire, SA47 0QN",52.1835,-4.29716,"Tue, 04 Jan 2011 16:53:02 +0000",0,1,,,,111,3.40766,,1,129,121,0,0,[],3.58601,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Seidr O Sir Medium Cider ,seidr-o-sir-welsh-county-cider-seidr-o-sir-medium-cider,Cider,21194,6042,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Seidr O Sir/Welsh County Cider,seidr-o-sirwelsh-county-cider,Cidery / Meadery,,,,Wales,,,0.0,0.0,"Tue, 04 Jan 2011 16:54:07 +0000",0,1,,,,8,0.0,,0,13,13,0,0,[],3.52088,False
0,5.4,,0,https://untappd.akamaized.net/site/beer_logos/beer-StWilburWeizen_21195.jpeg,,St. Wilbur Weizen,bayern-brewing-st-wilbur-weizen,Hefeweizen,21195,89,https://untappd.akamaized.net/site/brewery_logos/brewery-89_b7bcb.jpeg,Bayern Brewing,bayern-brewing,Micro Brewery,http://www.facebook.com/Bayern.Brewing,,http://www.bayernbrewery.com,United States,Missoula,MT,46.8726,-114.02,"Tue, 04 Jan 2011 16:54:27 +0000",0,1,,,,933,3.4657,,16,1221,1059,0,0,[],3.51133,False
0,5.3,"Brewed with 50 pounds of oatmeal in every batch, we combine this with a blend of roasted barley, chocolate and black patent malts to create a rich, creamy and smooth ale. ",34,https://untappd.akamaized.net/site/beer_logos/beer-46701_d2d9d_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-46701_c7963_hd.jpeg,Black Cobra,third-base-brewery-black-cobra,Stout - Oatmeal,46701,10104,https://untappd.akamaized.net/site/brewery_logos/brewery-10104_cf4e6.jpeg,Third Base Brewery,third-base-brewery,Brew Pub,https://www.facebook.com/#!/pages/Third-Base-Brewery/392653431252,3rdBaseBrewery,http://www.Thirdbasebrew.com/,United States,Cedar Rapids,IA,42.0352,-91.6398,"Thu, 28 Apr 2011 00:10:52 +0000",0,1,46701.0,"Thu, 16 May 2013 21:45:56 +0000",21196.0,460,3.66359,,5,729,523,0,0,[],3.65854,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Bryncelyn Oh Boy,bryncelyn-brewery-bryncelyn-oh-boy,English Bitter,21197,6044,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Bryncelyn Brewery,bryncelyn-brewery,Micro Brewery,,,,Wales,"Ystradgynlais, Swansea","West Glamorgan, SA9 1BS",51.7742,-3.7652,"Tue, 04 Jan 2011 16:55:42 +0000",0,1,,,,0,0.0,,0,1,1,0,0,[],3.65064,False
0,4.8,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Welsh Black,bullmastiff-welsh-black,Stout - Other,21198,6045,https://untappd.akamaized.net/site/brewery_logos/brewery-6045_4741c.jpeg,Bullmastiff Brewery,bullmastiff-brewery,Micro Brewery,,,http://www.bullmastiffbrewery.co.uk/,Wales,Cardiff,"South Glamorgan, CF1 8DL",51.4662,-3.20336,"Tue, 04 Jan 2011 16:58:37 +0000",0,1,,,,58,3.70259,,0,79,72,0,0,[],3.65896,False
