auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,6.9,A strong India Pale Ale that is marked by intense hop flavor and high hop bitterness. This style of beer needed the high hop and alcohol to survive the trip around Africa. Medium to light body and very bitter. ,55,https://untappd.akamaized.net/site/beer_logos/beer-RajIPA_12992.jpeg,,Raj IPA,four-peaks-brewing-co-raj-ipa,IPA - English,12992,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sun, 05 Dec 2010 12:00:44 +0000",0,1,12992.0,"Wed, 07 Dec 2011 04:47:59 +0000",4059.0,9135,3.58604,255,14102,10339,0,0,[],3.58814,False
0,5.0,"Our Oatmeal Stout is definitely a local favorite but it gets its origins from one of London's oldest breweries. The Oatmeal Stout differs from the popular Irish stout in its more subtle roastiness and subdued dryness. The addition of flaked oats rounds out these sometimes harsh characteristics producing a velvet smooth ale. This black stout has a flavor profile unique to all of North America. Subtlety is not a strong point as it is a stout after all, rich and eminently drinkable. ",25,https://untappd.akamaized.net/site/beer_logos/beer-_4060_sm_78e692669907abf032ec38c420bb2b.jpeg,,Oatmeal Stout,four-peaks-brewing-co-oatmeal-stout,Stout - Oatmeal,4060,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,6612,3.63763,138,9524,7411,0,0,[],3.63821,False
0,4.5,This delightfully refreshing beer is one you won't forget. Its peach flavor is not overpowering but is just enough to invite the drinker to have more. ,9,https://untappd.akamaized.net/site/beer_logos/beer-_14678_sm_3116da8ed0d35b54414d52a9bb74ae.jpeg,,Peach Ale,four-peaks-brewing-co-peach-ale,Fruit Beer,14678,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Tue, 14 Dec 2010 10:56:30 +0000",0,1,14678.0,"Wed, 07 Dec 2011 04:58:24 +0000",4061.0,11609,3.55201,542,17680,13179,0,0,[],3.55454,False
0,4.9,,0,https://untappd.akamaized.net/site/beer_logos/beer-4063_202fd_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-4063_0f6cb_hd.jpeg,Leroy Brown,four-peaks-brewing-company-leroy-brown,Brown Ale - American,4063,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,347,3.64625,61,432,396,0,0,[],3.64837,False
0,5.2,"This beer was brewed in honor of our brewer Melissa?s wedding to fellow brewer Derek Osbourne of B.J.?s in Chandler. The Alt Ball and Chain is a German Altbier. These beers are generally full-bodied with sweet malt flavor. The crispness, dry finish, and moderate hop aroma make an alt a great beer for summertime enjoyment. Our Alt has been lagering in our cellar for two weeks.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Alt Ball and Chain,four-peaks-brewing-co-alt-ball-and-chain,Altbier,4064,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,3,3,0,0,[],3.59537,False
0,9.0,One of a kind ale. Brewed with 600 pounds of Arizona grown Medjool Dates added to the kettle. 1998 Gold Medal GABF. Alcohol content varies as every brew is slightly different. Usually very strong with sherry or port-like flavors. Brewed quarterly.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Blind Date Ale,four-peaks-brewing-co-blind-date-ale,Strong Ale - American,4067,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,4067.0,"Wed, 04 Jul 2012 02:43:18 +0000",4065.0,70,3.89286,77,84,77,0,0,[],3.69584,False
0,9.0,One of a kind ale. Brewed with 600 pounds of Arizona grown Medjool Dates added to the kettle. 1998 Gold Medal GABF. Alcohol content varies as every brew is slightly different. Usually very strong with sherry or port-like flavors. Brewed quarterly.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Blind Date Ale,four-peaks-brewing-co-blind-date-ale,Strong Ale - American,4067,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,70,3.89286,77,84,77,0,0,[],3.69584,False
0,5.0,"This almost black lager originates from Germany and is most closely associated with Porter. The difference being the long maturation period (or lagering time) required to produce a true Schwarzbier. The flavor is reminiscent of treacle, coffee and toasted malt. It is not and should not be perceived as burnt or ashy like some stouts. Black Betty has a smooth character that marks most lager beers. The name, of course, comes from the Huddy Ledbetter song from the 1940?s which was made popular by the band Ram Jam and later by the Black Crowes and U2, among others.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Black Betty,four-peaks-brewing-co-black-betty,Schwarzbier,4068,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,3,3,0,0,[],3.59537,False
0,4.9,"Our rye beer is made with 20% flaked rye and rye malt. The addition of rye creates a dry, spicy flavor with a crisp, grainy aroma. We went with a lighter color and lower bitterness to compliment these flavors. It has an alcohol content of around 4.9%.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Caulfields Rye Ale,four-peaks-brewing-co-caulfields-rye-ale,Rye Beer,4069,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,1,0.0,0,4,4,0,0,[],3.57953,False
0,4.8,,0,https://untappd.akamaized.net/site/beer_logos/beer-RaspberryPorter_4070.jpeg,,Raspberry Porter,southern-tier-brewing-company-raspberry-porter,Porter - American,4070,4586,https://untappd.akamaized.net/site/brewery_logos/brewery-4586_47eba.jpeg,Southern Tier Brewing Company,southern-tier-brewing-company,Micro Brewery,http://www.facebook.com/SouthernTierBrewingCompany,stbcbeer,http://www.stbcbeer.com/,United States,Lakewood,NY,42.0889,-79.3482,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,77,3.73052,3,119,105,0,0,[],3.66679,False
