auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,This light german style Helles Lager was brewed with a small percentage of beechwood smoked malt. Light and delicate east drinking lager,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Smoked Helles Lager,minneapolis-town-hall-brewery-smoked-helles-lager,Lager - Helles,4952,869,https://untappd.akamaized.net/site/brewery_logos/brewery-MinneapolisTownHallBrewery_869.jpeg,Minneapolis Town Hall Brewery,minneapolis-town-hall-brewery,Brew Pub,https://www.facebook.com/townhallbrewery,THBrewery,http://www.townhallbrewery.com/,United States,Minneapolis,MN,44.9733,-93.2479,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,2,0.0,2,6,6,0,0.0,Helles Lager,minneapolis-town-hall-brewery-helles-lager,310047.0,25.0,,,3.62682,False
0,4.0,"Redbridge is made without wheat or barley, so the approximately 3.2 million consumers who are unable to drink beer made with barley due to Celiac Disease or because they follow a wheat-free or gluten-free diet can once again enjoy a great tasting beer. Redbridge is a rich, full-bodied lager brewed from sorghum for a well-balanced, moderately hopped taste.",0,https://untappd.akamaized.net/site/beer_logos/beer-4953_f442f_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-4953_2999e_hd.jpeg,Redbridge,anheuser-busch-redbridge,Gluten-Free,4953,44,https://untappd.akamaized.net/site/brewery_logos/brewery-44_d96b6.jpeg,Anheuser-Busch,anheuserbusch,Macro Brewery,http://www.facebook.com/AnheuserBusch,AnheuserBusch,http://www.anheuser-busch.com,United States,St. Louis,MO,38.5985,-90.2094,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,18761,2.41532,232,24007,21439,0,,,,,,0.0,[],2.43514,False
0,8.7,"P9 = 9th [non-] planet from The [Midnight] Sun

Named after the ruler of the underworld, PLUTO was re-classified as a non-planet in AUG 2006. Here we celebrate our ???Fallen Planet??? by creating a Belgian-style Golden Strong Ale, aged in French oak Chardonnay barrels with Brettanomyces. Appropriately, the devil???s in the details. 

LOGISTICS LOG: 
designed to represent the \Fallen Planet\"" with a Belgian beer style that includes beers traditionally named after the devil. primary fermentation and aging in stainless steel. phenomenal funk flavors realized with aging in oak barrels affected with Brettanomyces. bottle-conditioning achieved with secondary fermentation. devil-may-care data continues to develop.

Availability:
AK - draft and 22-oz bottles (limited release begins 08/29/2008)""",0,https://untappd.akamaized.net/site/beer_logos/beer-_4955_e7876b50ce7ad3b0e8116983b97a.jpeg,,Pluto,midnight-sun-brewing-co-pluto,Belgian Strong Golden Ale,4955,858,https://untappd.akamaized.net/site/brewery_logos/brewery-MidnightSunBrewingCo_858.jpeg,Midnight Sun Brewing Co.,midnight-sun-brewing-co,Micro Brewery,https://www.facebook.com/midnightsunbrewingcompany,MidSunBrewing,http://midnightsunbrewing.com/,United States,Anchorage,AK,61.1473,-149.844,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,33,3.73485,0,42,39,0,,,,,,0.0,[],3.64627,False
0,5.0,"From the talented brewers of Midnight Sun comes an incredible, beautifully bright and sunny golden ale. Every sip entices the taste buds with a bold balance of pils malt and noble hops. Midnight Sun Kolsch is a traditional German-style beer that unites the liveliness of an ale with the crispness of a lager for real refreshment any time of year. 

Creating a beer that truly serves both newcomers to craft beer as well as avid beer aficionados is no easy task. Midnight Sun Kolsch brewers struck gold with this beer...and now you can too. 

Availability:
AK - draft (year-round)",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Kolsch,midnight-sun-brewing-co-kolsch,K?lsch,4956,858,https://untappd.akamaized.net/site/brewery_logos/brewery-MidnightSunBrewingCo_858.jpeg,Midnight Sun Brewing Co.,midnight-sun-brewing-co,Micro Brewery,https://www.facebook.com/midnightsunbrewingcompany,MidSunBrewing,http://midnightsunbrewing.com/,United States,Anchorage,AK,61.1473,-149.844,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,131,3.52099,0,181,160,0,,,,,,0.0,[],3.61146,False
0,5.0,"Oosik Amber Ale is a true German-style altbier, brewed with pale, Munich and crystal malts. Deep amber with copper highlights, Oosik sports a toasted and caramel malt profile, balanced by traditional noble hops. A special yeast strain ferments this ale at cooler lager temperatures, giving it a smooth malt character and a clean finish. 

Want to hang???so to speak???for a while? Oosik Amber Ale gives you hang time. Great flavor, big mouthfeel, satisfying finish???all in a session-worthy beer. Compare it to other ambers???Oosik rules. Look for our 20-inch Oosik tap in better beer bars throughout AK. 

You can't just have a little Oosik. 

Availability:
AK - draft (year-round)",11,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Oosik Amber Ale,midnight-sun-brewing-co-oosik-amber-ale,Altbier,4957,858,https://untappd.akamaized.net/site/brewery_logos/brewery-MidnightSunBrewingCo_858.jpeg,Midnight Sun Brewing Co.,midnight-sun-brewing-co,Micro Brewery,https://www.facebook.com/midnightsunbrewingcompany,MidSunBrewing,http://midnightsunbrewing.com/,United States,Anchorage,AK,61.1473,-149.844,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,986,3.60041,13,1281,1115,0,,,,,,0.0,[],3.61232,False
0,6.0,"Full Curl Scotch Ale is brewed in the traditional Wee Heavy Scotch strong ale style. (This is not to be confused with the lighter-bodied Scottish ale style.) All about malt, Full Curl pours dark brown with a tan head. Its medium body provides sustenance while its strength boosts courage. With a stiff mug of Full Curl under your belt, you may even have what it takes to don a kilt.",0,https://untappd.akamaized.net/site/beer_logos/beer-_4958_aa1fa4d06cea025fd628985be91e.jpeg,,Full Curl Scotch Ale,midnight-sun-brewing-co-full-curl-scotch-ale,Scottish Ale,4958,858,https://untappd.akamaized.net/site/brewery_logos/brewery-MidnightSunBrewingCo_858.jpeg,Midnight Sun Brewing Co.,midnight-sun-brewing-co,Micro Brewery,https://www.facebook.com/midnightsunbrewingcompany,MidSunBrewing,http://midnightsunbrewing.com/,United States,Anchorage,AK,61.1473,-149.844,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,112,3.79241,5,151,128,0,,,,,,0.0,[],3.68877,False
0,7.8,"Dark and full-bodied, Mammoth Extra Stout boasts a well-rounded melange of rich flavors, including chocolate, caramel, coffee, nut and date. Huge portions of pale and specialty malts give this mammoth brew a complex yet exceptionally smooth palate. Hops provide balance without overpowering the chewy malt profile.",50,https://untappd.akamaized.net/site/beer_logos/beer-MammothExtraStout_4959.jpeg,,Mammoth Extra Stout,midnight-sun-brewing-co-mammoth-extra-stout,Stout - Foreign / Export,4959,858,https://untappd.akamaized.net/site/brewery_logos/brewery-MidnightSunBrewingCo_858.jpeg,Midnight Sun Brewing Co.,midnight-sun-brewing-co,Micro Brewery,https://www.facebook.com/midnightsunbrewingcompany,MidSunBrewing,http://midnightsunbrewing.com/,United States,Anchorage,AK,61.1473,-149.844,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,529,3.64461,1,733,675,0,,,,,,0.0,[],3.64683,False
0,6.4,"now simply known as ""Bengali""",62,https://untappd.akamaized.net/site/beer_logos/beer-_4960_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_4960_hd_1c19caac6d20f9c1a49bf36c27c9ab.jpeg,Bengali Tiger,sixpoint-brewery-bengali-tiger,IPA - American,4960,1149,https://untappd.akamaized.net/site/brewery_logos/brewery-SixpointBrewery_1149.jpeg,Sixpoint Brewery,sixpoint-brewery,Micro Brewery,http://www.facebook.com/sixpoint,sixpoint,http://sixpoint.com/,United States,Brooklyn,NY,40.6739,-74.0119,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,31847,3.69662,41,56451,36718,0,,,,,,0.0,[],3.69619,False
0,5.4,"Ridgeline Amber stands out as a stellar, complex choice in a sea of over-simplified amber beers available today. A malty, copper-hued treat from start to finish, Ridgeline begins with a distinctive, estery aroma. Followed with a complex, nutty malt flavor true to its Scottish-style heritage, Ridgeline delivers unparalleled character and dimension. A touch of hops rounds out its silky, full body, highlighting Ridgeline???s subtle but engrossing character. Show your friends that you care about their taste buds by turning them on to our imminently balanced and perfectly complex Ridgeline Amber. 

Of interest to Great Divide historians ??? Ridgeline originally debuted at the brewery as Great Divide???s first beer, Arapahoe Amber. It was renamed in 2004 to better reflect the Colorado lifestyle that Great Divide???s beers perfectly complement.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Ridgeline Amber,great-divide-brewing-company-ridgeline-amber,Red Ale - American Amber / Red,4961,604,https://untappd.akamaized.net/site/brewery_logos/brewery-604_621e5.jpeg,Great Divide Brewing Company,great-divide-brewing-company,Micro Brewery,http://www.facebook.com/greatdividebrew,greatdividebrew,http://greatdivide.com/,United States,Denver,CO,39.7538,-104.988,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,29,3.27586,1,38,37,0,,,,,,0.0,[],3.61812,False
0,5.9,"St. Bridget, a legendary Irish saint, created a sensation by turning her bathwater into beer. What better way to celebrate her worthy miracle than with our zymurgistic tribute to her feat: St. Bridget's Porter. St. Bridget's is a smooth and elegant brown porter. Brimming with coffee and chocolate characteristics from dark barley malts, St. Bridget's is carefully hopped to provide the perfect complement to its malty robustness. This beer is a ""must have"" beer for all porter lovers.

Prepare yourself for a religious experience",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Saint Bridget's Porter,great-divide-brewing-company-saint-bridget-s-porter,Porter - American,4962,604,https://untappd.akamaized.net/site/brewery_logos/brewery-604_621e5.jpeg,Great Divide Brewing Company,great-divide-brewing-company,Micro Brewery,http://www.facebook.com/greatdividebrew,greatdividebrew,http://greatdivide.com/,United States,Denver,CO,39.7538,-104.988,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,267,3.61891,20,379,348,0,,,,,,4.0,"[{'beer': {'bid': 172053, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-172053_5709d_sm.jpeg', 'beer_slug': 'great-divide-brewing-company-saint-bridget-s-porter-2009', 'beer_name': ""Saint Bridget's Porter (2009)"", 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 714323, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'great-divide-brewing-company-st-bridget-s-with-raisins', 'beer_name': ""St. Bridget's (With Raisins)"", 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 779804, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'great-divide-brewing-company-saint-bridget-s-porter-2007', 'beer_name': ""Saint Bridget's Porter (2007)"", 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1974159, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'great-divide-brewing-company-saint-bridget-s-porter-2017', 'beer_name': ""Saint Bridget's Porter (2017)"", 'is_vintage': 1, 'is_variant': 0}}]",3.63596,False
