auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,"A medium bodied, slightly bitter brown ale made with
molasses and caramel malts. Pheasant Plucker is served
cask-conditioned.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Pheasant Plucker,the-ship-inn-pheasant-plucker,Brown Ale - English,1780,1134,https://untappd.akamaized.net/site/brewery_logos/brewery-TheShipInn_1134_539e9.jpeg,The Ship Inn,the-ship-inn,Brew Pub,,,http://www.britishbrewpub.com/,United States,Milford,NJ,40.569,-75.0957,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,28,3.58036,0,45,34,0,,,,,,0.0,[],3.61979,False
0,4.0,"This carbonated house ale is light in color, not in calorie. It is made with a blend of malted barley and wheat. Golden Wheat Light is served chilled and carbonated with
a crisp, lightly hopped flavor.",0,https://untappd.akamaized.net/site/beer_logos/beer-_1781_sm_57eb818753a6a11c5c50c2d2cf967c.jpeg,,Golden Wheat Light,the-ship-inn-golden-wheat-light,Pale Wheat Ale - American,1781,1134,https://untappd.akamaized.net/site/brewery_logos/brewery-TheShipInn_1134_539e9.jpeg,The Ship Inn,the-ship-inn,Brew Pub,,,http://www.britishbrewpub.com/,United States,Milford,NJ,40.569,-75.0957,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,174,3.18822,3,225,207,0,,,,,,0.0,[],3.48255,False
0,0.0,"This medium bodied pale ale, is a copper-colored special bitter with spicy Cascade hops that has been carbonated to
suit the American palate.",0,https://untappd.akamaized.net/site/beer_logos/beer-_1782_sm_031f508f34e8d17954240ea513c713.jpeg,,ESB,the-ship-inn-esb,Extra Special / Strong Bitter,1782,1134,https://untappd.akamaized.net/site/brewery_logos/brewery-TheShipInn_1134_539e9.jpeg,The Ship Inn,the-ship-inn,Brew Pub,,,http://www.britishbrewpub.com/,United States,Milford,NJ,40.569,-75.0957,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,188,3.38564,0,296,237,0,,,,,,0.0,[],3.54908,False
0,5.0,"A traditional British style cask-conditioned pale ale, naturally carbonated and served on our hand pump. This
medium bodied house specialty has a fruity hop finish.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Best Bitter,the-ship-inn-best-bitter,English Bitter,1783,1134,https://untappd.akamaized.net/site/brewery_logos/brewery-TheShipInn_1134_539e9.jpeg,The Ship Inn,the-ship-inn,Brew Pub,,,http://www.britishbrewpub.com/,United States,Milford,NJ,40.569,-75.0957,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,364,3.28571,10,525,429,0,,,,,,0.0,[],3.45243,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Apple Ale,basil-t-s-brew-pub-and-italian-grill-apple-ale,Fruit Beer,1784,84,https://untappd.akamaized.net/site/brewery_logos/brewery-BasilTsBrewPubandItalianGrill_84_7507a.jpeg,Basil T's Brew Pub and Italian Grill,basil-t-s-brew-pub-and-italian-grill,Micro Brewery,http://www.facebook.com/TheOriginalBasilTs,BasilTs,http://www.basilt.com/,United States,Red Bank,NJ,40.3532,-74.0747,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,0,0.0,0,2,2,0,,,,,,0.0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Bad Seed Pumpkin Ale,basil-t-s-brew-pub-and-italian-grill-bad-seed-pumpkin-ale,Pumpkin / Yam Beer,1785,84,https://untappd.akamaized.net/site/brewery_logos/brewery-BasilTsBrewPubandItalianGrill_84_7507a.jpeg,Basil T's Brew Pub and Italian Grill,basil-t-s-brew-pub-and-italian-grill,Micro Brewery,http://www.facebook.com/TheOriginalBasilTs,BasilTs,http://www.basilt.com/,United States,Red Bank,NJ,40.3532,-74.0747,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,1,0.0,0,3,3,0,,,,,,0.0,[],3.57953,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Porter,joshua-huddy-s-brewery-porter,Porter - American,1786,724,https://untappd.akamaized.net/site/brewery_logos/brewery-JoshuaHuddysBrewPubandGrill_724.jpeg,Joshua Huddy's Brewery,joshua-huddy-s-brewery,Micro Brewery,,,,United States,Toms River,NJ,39.9839,-74.1801,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,2,2,0,,,,,,0.0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Pale Ale,joshua-huddy-s-brewery-pale-ale,Pale Ale - American,1787,724,https://untappd.akamaized.net/site/brewery_logos/brewery-JoshuaHuddysBrewPubandGrill_724.jpeg,Joshua Huddy's Brewery,joshua-huddy-s-brewery,Micro Brewery,,,,United States,Toms River,NJ,39.9839,-74.1801,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,2,2,0,,,,,,0.0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Amber,joshua-huddy-s-brewery-amber,Red Ale - American Amber / Red,1788,724,https://untappd.akamaized.net/site/brewery_logos/brewery-JoshuaHuddysBrewPubandGrill_724.jpeg,Joshua Huddy's Brewery,joshua-huddy-s-brewery,Micro Brewery,,,,United States,Toms River,NJ,39.9839,-74.1801,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,1,0.0,0,4,4,0,,,,,,0.0,[],3.57953,False
0,4.2,"Golden caramel malts lay down a base for a run of honey and earthy hops in this lager brewed for those who love all things winter.
",22,https://untappd.akamaized.net/site/beer_logos/beer-110972_c31f1_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-110972_22538_hd.jpeg,Yard Sale,uinta-brewing-company-yard-sale,Lager - Winter,110972,1304,https://untappd.akamaized.net/site/brewery_logos/brewery-1304_8f419.jpeg,Uinta Brewing Company,uinta-brewing-company,Micro Brewery,https://www.facebook.com/uintabrewing/?rf=253113611428604,uintaBrewing,http://www.uintabrewing.com/,United States,Salt Lake City,UT,40.7326,-111.954,"Tue, 20 Dec 2011 12:31:51 +0000",0,1,110972.0,"Thu, 07 Jun 2012 20:31:57 +0000",1789.0,11832,3.33938,63,15356,13197,0,,,,,,0.0,[],3.34723,False
