auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,6.6,Chocolate malt imparts a dark bitterness with the raspberries adding a tart semi sweet aftertaste,42,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Chocolate Raspberry Stout,brewnut-brewing-chocolate-raspberry-stout,Specialty Grain,26637,7251,https://untappd.akamaized.net/site/brewery_logos/brewery-7251_e8c6b.jpeg,Brewnut Brewing,brewnut-brewing,Home Brewery,http://www.facebook.com/BrewnutBrewing,brewnut,http://www.brewnutbrewing.com,Australia,Melbourne,Victoria,0.0,0.0,,,"Wed, 26 Jan 2011 09:37:39 +0000",1,1,,,,6,0.0,True,0,40,10,0,,,,,,,0.0,[],0.0,False
0,5.2,"An inky black ale, smooth and roasty, with a creamy touch of oatmeal.",37,https://untappd.akamaized.net/site/beer_logos/beer-_26638_sm_99ae26eddd02615fddae433710f901.jpeg,,B?te Noire,paddock-wood-brewing-co-bete-noire,Stout - Oatmeal,26638,1747,https://untappd.akamaized.net/site/brewery_logos/brewery-PaddockWood_1747.jpeg,Paddock Wood Brewing Co.,paddock-wood-brewing-co,Micro Brewery,http://www.facebook.com/paddockwood,paddock_wood,http://www.paddockwood.com/,Canada,Saskatoon,SK,52.1301,-106.598,,,"Wed, 26 Jan 2011 09:41:01 +0000",0,1,,,,281,3.61744,,1,499,328,0,,,,,,,0.0,[],3.63486,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Winter Ale,east-street-brewery-winter-ale,Golden Ale,26639,6807,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,East Street Brewery,east-street-brewery,Home Brewery,,,,Australia,,,0.0,0.0,,,"Wed, 26 Jan 2011 10:07:26 +0000",1,1,,,,0,0.0,,0,2,1,0,,,,,,,0.0,[],3.786,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,NatureLand Organic Festbier,pacific-western-brewing-natureland-organic-festbier,Lager - North American Adjunct,26640,2578,https://untappd.akamaized.net/site/brewery_logos/brewery-pacificwesternbrewing_2578.jpeg,Pacific Western Brewing,pacific-western-brewing,Micro Brewery,http://www.facebook.com/people/Pacific-Western/100000050154414,pwbrewing,http://www.pwbrewing.net,Canada,Burnaby,BC,49.2499,-122.975,,,"Wed, 26 Jan 2011 10:22:01 +0000",0,1,,,,7,0.0,,0,15,12,0,,,,,,,0.0,[],3.48735,False
0,6.8,"PKB Remix 2010 is a shade bigger in alcohol than its regularly brewed brother and uses several generous doses of US Cascade hops, in both the kettle and the fermenter, to achieve a hop character quite different from the NZ hopped general release. It is brewed with the help of our good friends at Invercargill Brewery and matured to optimum ripeness before being packaged and released for your drinking pleasure. As always we encourage you to appreciate our beer, and other great craft beer, in moderation. Slainte mhath, Stu and Sam. ",0,https://untappd.akamaized.net/site/beer_logos/beer-PKBRemix2010_26641.jpeg,,PKB Remix 2010 (US Mix),yeastie-boys-pkb-remix-2010-us-mix,IPA - Black / Cascadian Dark Ale,26641,3591,https://untappd.akamaized.net/site/brewery_logos/brewery-3591_bcdf7.jpeg,Yeastie Boys,yeastie-boys,Micro Brewery,http://www.facebook.com/pages/Yeastie-Boys/62708561540?ref=ts,yeastieboys,http://www.yeastieboys.co.nz,New Zealand,Wellington,,-41.2865,174.776,,,"Wed, 26 Jan 2011 12:20:34 +0000",0,1,,,,29,4.02586,,1,66,58,0,,,,,,,0.0,[],3.68351,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Mirboo Midnight Oaked Dark Ale,grand-ridge-brewery-mirboo-midnight-oaked-dark-ale,Dark Ale,26642,4331,https://untappd.akamaized.net/site/brewery_logos/brewery-4331_22104.jpeg,Grand Ridge Brewery,grand-ridge-brewery,Micro Brewery,http://www.facebook.com/pages/Grand-Ridge-Brewery/149607794490,grandridgebeer,http://www.grand-ridge.com.au,Australia,Mirboo North,VIC,-38.4011,146.163,,,"Wed, 26 Jan 2011 12:43:41 +0000",0,0,,,,16,3.875,,0,34,28,0,,,,,,,0.0,[],3.61386,False
0,4.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Sakamoto Ryoma Beer,nippon-beer-co-ltd-sakamoto-ryoma-beer,Pilsner - Other,26643,12384,https://untappd.akamaized.net/site/brewery_logos/brewery-NipponBeerCoLtd_12384_c050b.jpeg,"Nippon Beer Co., Ltd.",nippon-beer-co-ltd,Micro Brewery,,,http://www.nipponbeer.jp/,Japan,Meguro,Tokyo,35.6466,139.701,,,"Wed, 26 Jan 2011 13:12:15 +0000",0,1,,,,33,2.79545,,0,71,71,0,,,,,,,0.0,[],3.56688,False
0,4.5,"Belgian Witbier brewed with high proportion of adjuncts (raw wheat and oats), and a unique blend of spices.",10,https://untappd.akamaized.net/site/beer_logos/beer-26644_e90b1_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-26644_55b48_hd.jpeg,White,3-ravens-brewery-white,Witbier,26644,3324,https://untappd.akamaized.net/site/brewery_logos/brewery-3324_00cef.jpeg,3 Ravens Brewery,3-ravens-brewery,Micro Brewery,https://www.facebook.com/3ravensbrewery,3RAVENS,http://www.3ravens.com.au/,Australia,Thornbury,VIC,-37.7559,145.027,,,"Wed, 26 Jan 2011 13:24:42 +0000",0,1,,,,488,3.35912,,27,620,552,0,,,,,,,0.0,[],3.4714,False
0,5.2,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Choc Hops,mildura-brewery-choc-hops,Stout - Other,37757,3345,https://untappd.akamaized.net/site/brewery_logos/brewery-MilduraBrewery_3345.jpeg,Mildura Brewery,mildura-brewery,Micro Brewery,http://www.facebook.com/MilduraBrewery?rf=242924652440808,MilduraBrewery,http://www.mildurabrewery.com.au,Australia,Mildura,VIC,-34.1834,142.163,,,"Thu, 17 Mar 2011 05:43:43 +0000",0,1,37757.0,"Thu, 01 Jan 1970 00:00:00 +0000",26645.0,437,3.64359,,3,757,499,0,,,,,,,0.0,[],3.64665,False
0,8.0,"Brewed using ""Kaneko Golden"" Japanese ancient barley & ""Sorachi Ace"" hop which was developed in Japan.

From summer 2011, Nipponia has been bottom fermented. ",18,https://untappd.akamaized.net/site/beer_logos/beer-HitachinoNestNipponia_38223.jpeg,,Hitachino Nest Ancient Nipponia,kiuchi-brewery-hitachino-nest-ancient-nipponia,Belgian Strong Golden Ale,38223,1713,https://untappd.akamaized.net/site/brewery_logos/brewery-KiuchiBrewery_1713.jpeg,Kiuchi Brewery,kiuchi-brewery,Micro Brewery,https://www.facebook.com/kiuchisyuzo,kiuchibrewery,http://www.kodawari.cc/,Japan,Naka-shi,Ibaraki,36.4685,140.468,,,"Fri, 18 Mar 2011 19:28:55 +0000",0,1,38223.0,"Thu, 01 Jan 1970 00:00:00 +0000",26647.0,7572,3.58891,,149,9606,8659,0,,,,,,,4.0,"[{'beer': {'bid': 286793, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'b-united-international-hitachino-nipponia-zymatore', 'beer_name': 'Hitachino Nipponia Zymatore', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1434154, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'b-united-international-ancient-nipponia-zymatore', 'beer_name': 'Ancient Nipponia Zymatore', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1478454, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'kiuchi-brewery-hitachino-nest-ancient-nipponia-mosaic-hop-version', 'beer_name': 'Hitachino Nest Ancient Nipponia Mosaic Hop Version', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1843072, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'kiuchi-brewery-ancient-nipponia-dry-hopped-with-mosaic', 'beer_name': 'Ancient Nipponia Dry Hopped With Mosaic', 'is_vintage': 0, 'is_variant': 1}}]",3.59132,False
