auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Concord Pale Ale,concord-junction-brewing-co-concord-pale-ale,Pale Ale - American,18910,45982,https://untappd.akamaized.net/site/brewery_logos/brewery-ConcordBrewery_45982_405d9.jpeg,Concord Brewery,concord-brewery,Micro Brewery,,,,United States,Lowell,MA,42.6509,-71.3165,"Thu, 30 Dec 2010 02:59:14 +0000",0,1,,,,4,0.0,,0,7,7,0,,,,,,0.0,[],3.59466,False
0,5.0,"A quintessential American pale ale, brewed with a blend of American hops. This copper colored ale is well balanced and pleasantly bitter with a spicy-citrus hop aroma, produced by a blend of Cluster and Cascade hops.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,American Pale Ale,beer-works-boston-salem-hingham-lowell-american-pale-ale,Pale Ale - American,1944,158,https://untappd.akamaized.net/site/brewery_logos/brewery-BeerWorks_158.jpeg,"Beer Works (Boston, Salem, Hingham, Lowell, Framingham)",beer-works-boston-salem-hingham-lowell-framingham,Micro Brewery,,beer_works,http://www.beerworks.net,United States,Boston,MA,42.347,-71.0988,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,1944.0,"Thu, 01 Jan 1970 00:00:00 +0000",18911.0,115,3.32609,,3,182,166,0,,,,,,0.0,[],3.56207,False
0,5.9,"San Francisco's famouse Liberty Ale was first brewed on the 18th of April, 1975 to celebrate the 200th anniversary of Paul Revere's historic ride. It is virtually handmade by the brewers of Anchor Steam Beer in one of the smallest and most traditional breweries in the world. Liberty Ale is made with the finest barley malt, fresh, whole hops, top fermenting yeast, pure water and the simple natural methods which reflect our exceptional respect for the ancient art of brewing. It is \dry hopped",47,https://untappd.akamaized.net/site/beer_logos/beer-AnchorLibertyAle.jpg,,Liberty Ale,anchor-brewing-company-liberty-ale,IPA - American,5173,3891,https://untappd.akamaized.net/site/brewery_logos/brewery-AnchorBrewingCompany_3891.jpeg,Anchor Brewing Company,anchor-brewing-company,Micro Brewery,http://www.facebook.com/anchorbrewing,AnchorBrewing,http://www.anchorbrewing.com,United States,San Francisco,CA,37.7635,-122.401,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,5173.0,"Thu, 01 Jan 1970 00:00:00 +0000",18912.0,76085,3.49598,,1581,107498,85574,0,,,,,,0.0,[],3.4966,False
0,4.1,,0,https://untappd.akamaized.net/site/beer_logos/beer-18913_86b3c_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-18913_e203c_hd.jpeg,Firkin Freezin,salopian-brewery-firkin-freezin,English Bitter,18913,1096,https://untappd.akamaized.net/site/brewery_logos/brewery-1096_7940e.jpeg,Salopian Brewery,salopian-brewery,Micro Brewery,https://www.facebook.com/SalopianBrewery,SalopianBrewery,http://www.salopianbrewery.co.uk,England,Shrewsbury,Shropshire,52.7069,-2.7864,"Thu, 30 Dec 2010 03:02:24 +0000",0,1,,,,458,3.46943,,0,559,504,0,,,,,,0.0,[],3.54153,False
0,5.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-_3579_b0fd5112a3db455f4f8f62458731.jpeg,,Michelob Pale Ale,anheuser-busch-michelob-pale-ale,Pale Ale - English,3579,44,https://untappd.akamaized.net/site/brewery_logos/brewery-44_d96b6.jpeg,Anheuser-Busch,anheuserbusch,Macro Brewery,http://www.facebook.com/AnheuserBusch,AnheuserBusch,http://www.anheuser-busch.com,United States,St. Louis,MO,38.5985,-90.2094,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,3579.0,"Tue, 06 Nov 2012 16:49:07 +0000",18914.0,170,2.54412,,2,272,268,0,,,,,,0.0,[],3.25549,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Pale Ale,otter-creek-brewing-otter-creek-wolavers-pale-ale,Pale Ale - American,23964,959,https://untappd.akamaized.net/site/brewery_logos/brewery-959_b9838.jpeg,Otter Creek Brewing,otter-creek-brewing,Micro Brewery,http://www.facebook.com/OtterCreekBrewing,OtterCreekBeer,http://www.ottercreekbrewing.com/,United States,Middlebury,VT,44.0197,-73.1692,"Fri, 14 Jan 2011 02:09:33 +0000",0,1,23964.0,"Thu, 01 Jan 1970 00:00:00 +0000",18915.0,0,0.0,True,0,0,0,0,,,,,,0.0,[],0.0,False
0,5.6,"Our most popular beer, Sierra Nevada Pale Ale is a delightful interpretation of a classic style. It has a deep amber color and an exceptionally full-bodied, complex character. Generous quantities of premium Cascade hops give the Pale Ale its fragrant bouquet and spicy flavor. ",38,https://untappd.akamaized.net/site/beer_logos/beer-6284_6ddce_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-6284_a84e8_hd.jpeg,Pale Ale,sierra-nevada-brewing-co-pale-ale,Pale Ale - American,6284,1142,https://untappd.akamaized.net/site/brewery_logos/brewery-1142_f241d.jpeg,Sierra Nevada Brewing Co.,sierra-nevada-brewing-co,Micro Brewery,http://www.facebook.com/sierranevadabeer,SierraNevada,http://www.sierranevada.com/,United States,Chico,CA,39.7242,-121.815,"Thu, 07 Oct 2010 05:23:34 +0000",0,1,6284.0,"Thu, 01 Jan 1970 00:00:00 +0000",18916.0,317741,3.65862,,8507,792497,362028,0,,,,,,0.0,[],3.65861,False
0,5.8,"Big and bold, our Pale Ale distinguishes itself by its huge, fresh hop aroma and flavor. A combination of Cascade and Centennial hops gives this beer its nectarious flavor.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Tall Tale Pale Ale,cambridge-brewing-co-tall-tale-pale-ale,Pale Ale - American,3647,1506,https://untappd.akamaized.net/site/brewery_logos/brewery-CambridgeBrewingCo_1506.jpeg,Cambridge Brewing Company,cambridge-brewing-company,Micro Brewery,http://www.facebook.com/cambridgebrewing,CamBrewingCo,http://www.cambrew.com/,United States,Cambridge,MA,42.3663,-71.0906,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,3647.0,"Thu, 01 Jan 1970 00:00:00 +0000",18917.0,2695,3.47505,,68,3560,3129,0,,,,,,5.0,"[{'beer': {'bid': 395898, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-company-tall-tale-pale-ale-w-palisade', 'beer_name': 'Tall Tale Pale Ale (w/ Palisade)', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 565183, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-company-tall-tale-pale-ale-w-falconer-s-flight', 'beer_name': ""Tall Tale Pale Ale (w/ Falconer's Flight)"", 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 767103, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-company-tall-tale-pale-ale-w-nelson-sauvin', 'beer_name': 'Tall Tale Pale Ale (w/ Nelson Sauvin)', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 827990, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-company-tall-tale-pale-ale-with-mosaic', 'beer_name': 'Tall Tale Pale Ale (with Mosaic)', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1367931, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-company-tall-tale-pale-ale-w-southern-cross', 'beer_name': 'Tall Tale Pale Ale (w/ Southern Cross)', 'is_vintage': 0, 'is_variant': 1}}]",3.49293,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-_18918_sm_5d807d65c6636a208ac1aa81e40418.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_18918_hd_ffb69785b989f43789d5939e78f9d6.jpeg,Blonde,isle-of-arran-brewery-co-blonde,Blonde Ale,18918,4393,https://untappd.akamaized.net/site/brewery_logos/brewery-IsleofArranBreweryCo_4393.jpeg,Isle of Arran Brewery Co.,isle-of-arran-brewery-co,Micro Brewery,https://www.facebook.com/pages/Arran-Brewery/106944676033726,arranbrewery,http://www.arranbrewery.com,Scotland,Brodick,"Isle of Arran, KA27 8DE",55.5913,-5.15497,"Thu, 30 Dec 2010 03:06:59 +0000",0,1,,,,2468,3.44743,,115,3462,2714,0,,,,,,0.0,[],3.46981,False
0,8.5,Imperial IPA with an unreasonable amount of Hops,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Blonde Hop Monster,paper-city-brewing-company-blonde-hop-monster,IPA - Imperial / Double,35619,970,https://untappd.akamaized.net/site/brewery_logos/brewery-PaperCityBrewingCompany_970.jpeg,Paper City Brewing Company,paper-city-brewing-company,Micro Brewery,http://www.facebook.com/pages/Paper-City-Brewery/50442349355,,http://www.papercity.com/,United States,Holyoke,MA,42.2012,-72.6104,"Mon, 07 Mar 2011 17:34:50 +0000",0,1,35619.0,"Wed, 05 Dec 2012 17:31:47 +0000",18919.0,57,3.27193,,1,87,81,0,,,,,,0.0,[],3.59124,False
