auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,9.2,"It?s just a helluva shock. Something that gets the adrenalin pumping like a 400 volt shot in a copper bathtub has to be good for the soul.

Join the hardcore elite, screw down the throttle and ride. Ride until your lungs bleed and your arms numb. Gun the fucker. Don?t pull back, or slow down until the crazy music starts.

Then sit, stunned, wall-eyed, open mouthed, in the realization this mother will drill you with Panzer-like efficiency. And you?ll beg for more.

Malts:
Maris Otter, Crystal malt, Caramalt.

Hops:
Centennial, Columbus, Simcoe / Dry Hops: Centennial, Columbus, Simcoe.",150,https://untappd.akamaized.net/site/beer_logos/beer-5707_b5c0e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5707_f4fc3_hd.jpeg,Hardcore IPA,brewdog-hardcore-ipa,IPA - Imperial / Double,5707,241,https://untappd.akamaized.net/site/brewery_logos/brewery-241_8c584.jpeg,BrewDog,brewdog,Micro Brewery,http://www.facebook.com/pages/BrewDog/21251598643,BrewDog,http://www.brewdog.com,Scotland,Ellon,Aberdeenshire,57.3716,-2.04834,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,5707.0,"Thu, 01 Jan 1970 00:00:00 +0000",7131.0,66574,3.92667,,938,102191,72761,0,2,"[{'beer': {'bid': 142810, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewdog-hardcore-nz', 'beer_name': 'Hardcore NZ', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1067027, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewdog-hardcore-strawberry-port-dundas', 'beer_name': 'Hardcore Strawberry Port Dundas', 'is_vintage': 0, 'is_variant': 1}}]",3.92541,False
0,5.6,"Skillfully hopped with Amarillo, Willamette and Magnum hops, LOW DOWN is brewed with North American, German and British malts. A hint of oats for roundness and silky goodness makes this one profound American Brown.",40,https://untappd.akamaized.net/site/beer_logos/beer-_7132_8018fe827801be2ec914d662ec4a.jpeg,,Cottonwood Low Down Brown,foothills-brewing-cottonwood-low-down-brown,Brown Ale - American,7132,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Wed, 03 Nov 2010 08:25:56 +0000",0,0,,,,1770,3.425,,0,2486,2027,0,0,[],3.45811,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Dragon Red Ale,bilbo-s-pizza-brewing-company-dragon-red-ale,Red Ale - American Amber / Red,7133,3234,https://untappd.akamaized.net/site/brewery_logos/brewery-BilbosPizzaBrewingCompany_3234.jpeg,Bilbo's Pizza & Brewing Company,bilbo-s-pizza-brewing-company,Micro Brewery,https://www.facebook.com/pages/Bilbos-Pizza/206353649394799,,http://www.bilbospizza.com/,United States,Kalamazoo,MI,42.2816,-85.6218,"Wed, 03 Nov 2010 08:26:27 +0000",0,1,,,,238,3.20693,,2,296,269,0,0,[],3.45655,False
0,5.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Cottonwood Low Country Pale Ale,foothills-brewing-cottonwood-low-country-pale-ale,Pale Ale - American,7134,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Wed, 03 Nov 2010 08:26:47 +0000",0,0,,,,6,0.0,,0,15,14,0,0,[],3.55773,False
0,4.3,"Smooth as a summer day, Carolina Blonde is the beach in a bottle. Two-row barley and a mellow hint of wheat complement the subtle flavoring of German Noble hops to create the quintessential Cream Ale. Need a vacation? Have a Blonde.",15,https://untappd.akamaized.net/site/beer_logos/beer-CarolinaBlonde_115170.jpeg,,Carolina Blonde,foothills-brewing-carolina-blonde,Cream Ale,115170,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Sat, 31 Dec 2011 11:41:39 +0000",0,1,115170.0,"Wed, 08 Aug 2012 02:49:52 +0000",7135.0,16565,3.22815,,330,23012,19006,0,0,[],3.23581,False
0,4.3,"Smooth as a summer day, Carolina Blonde is the beach in a bottle. Two-row barley and a mellow hint of wheat complement the subtle flavoring of German Noble hops to create the quintessential Cream Ale. Need a vacation? Have a Blonde.",15,https://untappd.akamaized.net/site/beer_logos/beer-CarolinaBlonde_115170.jpeg,,Carolina Blonde,foothills-brewing-carolina-blonde,Cream Ale,115170,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Sat, 31 Dec 2011 11:41:39 +0000",0,1,115170.0,"Sun, 27 Apr 2014 09:12:44 +0000",7136.0,16565,3.22815,,330,23012,19006,0,0,[],3.23581,False
0,4.3,"Bright and Crisp, this American Cream Ale stands out with just enough strawberry aroma and flavor to keep your attention while remaining smooth and balanced from top to bottom.",15,https://untappd.akamaized.net/site/beer_logos/beer-_160397_7eff2f37ee2a9ecacdfed9342eee.jpeg,,Carolina Strawberry,foothills-brewing-carolina-strawberry,Cream Ale,160397,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Mon, 16 Apr 2012 19:17:00 +0000",0,1,160397.0,"Wed, 08 Aug 2012 02:49:47 +0000",7137.0,6854,3.22812,,114,9237,7791,0,0,[],3.24618,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Cottonwood Almond Stout,foothills-brewing-cottonwood-almond-stout,Stout - Other,7138,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Wed, 03 Nov 2010 08:38:53 +0000",0,0,,,,6,0.0,,0,11,11,0,0,[],3.55773,False
0,3.8,,23,https://untappd.akamaized.net/site/beer_logos/beer-1111767_078fd_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-1111767_1d8ea_hd.jpeg,Foot Men Series American Wheat,foothills-brewing-foot-men-series-american-wheat,Pale Wheat Ale - American,1111767,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Thu, 04 Jun 2015 21:30:59 +0000",0,1,1111767.0,"Mon, 03 Aug 2015 20:28:57 +0000",7139.0,181,3.6174,,0,240,210,0,0,[],3.63806,False
0,6.2,"Embrace the long winter nights in the company of Frostbite Black IPA. A careful blend of barley and roasted wheat malts deliver a clean finish, backed up by a big blast of Pacific North West aroma hops. ",74,https://untappd.akamaized.net/site/beer_logos/beer-7140_efb0e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-7140_1fce7_hd.jpeg,Frostbite Black IPA,foothills-brewing-frostbite-black-ipa,IPA - Black / Cascadian Dark Ale,7140,543,https://untappd.akamaized.net/site/brewery_logos/brewery-FoothillsBrewing_543.jpeg,Foothills Brewing,foothills-brewing,Micro Brewery,http://www.facebook.com/foothills.brewing,FoothillsBeer,http://www.foothillsbrewing.com/,United States,Winston-Salem,NC,36.0973,-80.2509,"Wed, 03 Nov 2010 08:40:44 +0000",0,1,,,,11208,3.72056,,176,16941,12492,0,0,[],3.7187,False
