auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent,vintages.count,vintages.items,weighted_rating_score,wish_list
0,9.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Daisen G Barleywine,kumezakura-daisen-brewery-daisen-g-barleywine,Barleywine - English,75506,12726,https://untappd.akamaized.net/site/brewery_logos/brewery-KumezakuraMicroBreweryCo_12726.jpeg,Kumezakura Daisen Brewery,kumezakura-daisen-brewery,Micro Brewery,,,http://g-beer.jp/gbeer/,Japan,"Hoki-cho, Saihaku-gun",Tottori,35.3877,133.467,,,"Tue, 30 Aug 2011 11:05:33 +0000",0,1,75506.0,"Sat, 13 Jul 2013 18:17:29 +0000",20792.0,83,3.45482,5,107,96,0,,3.0,"[{'beer': {'bid': 904073, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'kumezakura-daisen-brewery-daisen-g-barley-wine-2009', 'beer_name': 'Daisen G Barley Wine (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1035753, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'kumezakura-daisen-brewery-daisen-g-beer-barley-wine-2014', 'beer_name': 'Daisen G Beer Barley Wine (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1807608, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'kumezakura-daisen-brewery-daisen-g-barleywine-2015', 'beer_name': 'Daisen G Barleywine (2015)', 'is_vintage': 1, 'is_variant': 0}}]",3.60896,False
0,4.8,"Gentle, with a pleasant aftertaste and moderate malty accent, practically without the taste of bitterness. Light beer lovers do appreciate the pure, light taste and wonderful freshness of this beer variety.",0,https://untappd.akamaized.net/site/beer_logos/beer-20793_01025_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-20793_9526d_hd.jpeg,Helles Light,beer-house-estonia-helles-light,Lager - Dortmunder / Export,20793,5867,https://untappd.akamaized.net/site/brewery_logos/brewery-5867_4de5e.jpeg,Beer House (Estonia),beer-house-estonia,Brew Pub,https://www.facebook.com/beerhouse.ee,,http://www.beerhouse.ee/,Estonia,Tallinn,,59.4367,24.7436,,,"Mon, 03 Jan 2011 22:28:53 +0000",0,1,,,,367,2.9782,11,445,431,0,,0.0,[],3.28352,False
0,6.3,,0,https://untappd.akamaized.net/site/beer_logos/beer-20794_27c73_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-20794_44f4a_hd.jpeg,M?nchen Vaskne,sillamae-olletehas-munchen-vaskne,Lager - Vienna,20794,5868,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Sillam?e ?lletehas,sillam-e-lletehas,Micro Brewery,,,,Estonia,,,0.0,0.0,,,"Mon, 03 Jan 2011 22:30:20 +0000",0,1,,,,259,3.33398,2,389,298,0,,0.0,[],3.50537,False
0,5.1,,0,https://untappd.akamaized.net/site/beer_logos/beer-115950_2d405_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-115950_68c93_hd.jpeg,Star Lager,nigerian-breweries-plc-star-lager,Lager - Pale,115950,5948,https://untappd.akamaized.net/site/brewery_logos/brewery-5948_45242.jpeg,Nigerian Breweries PLC,nigerian-breweries-plc,Macro Brewery,,,http://nbplc.com,Nigeria,,,0.0,0.0,,,"Mon, 02 Jan 2012 09:34:11 +0000",0,1,115950.0,"Fri, 12 Feb 2016 18:21:15 +0000",20795.0,1109,2.78088,30,1662,1338,0,,0.0,[],2.96855,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-20796_265b2_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-20796_6028a_hd.jpeg,Club Premium Lager,accra-brewery-ltd-club-premium-lager,Lager - Pale,20796,5870,https://untappd.akamaized.net/site/brewery_logos/brewery-5870_78044.jpeg,Accra Brewery Ltd,accra-brewery-ltd,Macro Brewery,https://www.facebook.com/pages/Accra-Brewery-Limited,,http://www.sabmiller.com/,Ghana,"20 Farrar Ave,",Accra,5.56576,-0.211726,,,"Mon, 03 Jan 2011 22:36:55 +0000",0,1,,,,443,2.72912,16,815,537,0,,0.0,[],3.10498,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,?rainn Mh?r B?N,arainn-mhor-brewing-co-arainn-mhor-ban,Golden Ale,20797,165296,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Arainn Mhor Brewing Co,arainn-mhor-brewing-co,Micro Brewery,,,,Ireland,,,0.0,0.0,,,"Mon, 03 Jan 2011 22:48:02 +0000",0,0,,,,1,0.0,0,4,4,0,,0.0,[],3.57953,False
0,4.6,"An amber-red colored ale with an aroma that combines English hops and fruity esters.  A light malt flavor that fades to a clean, crisp hop finish.",0,https://untappd.akamaized.net/site/beer_logos/beer-_157347_sm_9e78f38e8e3a8c1b398436a8dc9d8b.jpeg,,McArdle's Irish Ale,cb-brewing-company-mcardle-s-irish-ale,Red Ale - Irish,157347,5045,https://untappd.akamaized.net/site/brewery_logos/brewery-CBBrewingCompany_5045_80d0b.jpeg,CB Craft Brewers,cb-craft-brewers,Micro Brewery,https://www.facebook.com/CBCraftBrewers,cbcraftbrewers,http://www.cbcraftbrewers.com,United States,Honeoye Falls,NY,42.9505,-77.6032,,,"Tue, 10 Apr 2012 14:58:20 +0000",0,1,157347.0,"Sun, 01 May 2016 12:34:38 +0000",20798.0,446,3.287,7,625,562,0,,0.0,[],3.43479,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Bulmers Stag,bulmers-ireland-c-c-group-plc-bulmers-stag,Cider,20799,5874,https://untappd.akamaized.net/site/brewery_logos/brewery-BulmersCCGroupplc_5874.jpeg,Bulmers Ireland,bulmers-ireland,Micro Brewery,http://www.facebook.com/bulmersoriginalirishcider,BulmersVatHouse,www.bulmers.ie,Ireland,Clonmel,Co Tipperery,52.3603,-7.64871,,,"Mon, 03 Jan 2011 22:50:20 +0000",0,1,,,,0,0.0,0,37,37,0,,0.0,[],3.65064,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Messrs Maguire Pils,messrs-maguire-messrs-maguire-pils,Pilsner - German,20800,5875,https://untappd.akamaized.net/site/brewery_logos/brewery-MessrsMaguire_5875.jpeg,Messrs Maguire,messrs-maguire,Micro Brewery,http://www.facebook.com/pages/Messrs-Maguire/127455757310013,MessrsMaguire,http://www.messrsmaguire.ie,Ireland,Dublin,Co Dublin,53.3474,-6.25678,,,"Mon, 03 Jan 2011 22:51:30 +0000",0,0,,,,0,0.0,0,1,1,0,,0.0,[],3.59537,False
0,7.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-HantverksbryggerietKosackenPrototypX_20801.jpeg,,Kosacken,hantverksbryggeriet-kosacken,Stout - Russian Imperial,20801,5876,https://untappd.akamaized.net/site/brewery_logos/brewery-Hantverksbryggeriet_5876_2258d.jpeg,Hantverksbryggeriet,hantverksbryggeriet,Micro Brewery,http://www.facebook.com/pages/Hantverksbryggeriet/14570290829,hantverksbrygg,http://www.hantverksbryggeriet.se/,Sweden,V?ster?s,,59.6168,16.5469,,,"Mon, 03 Jan 2011 22:58:05 +0000",0,1,,,,1376,3.54887,16,1720,1506,0,,5.0,"[{'beer': {'bid': 849186, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'hantverksbryggeriet-kosacken-2012', 'beer_name': 'Kosacken (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 924360, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'hantverksbryggeriet-kosacken-2013', 'beer_name': 'Kosacken (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1034687, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'hantverksbryggeriet-kosacken-2010', 'beer_name': 'Kosacken (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1873520, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'hantverksbryggeriet-kosacken-2016', 'beer_name': 'Kosacken (2016)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 2068101, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'hantverksbryggeriet-kosacken-2009', 'beer_name': 'Kosacken (2009)', 'is_vintage': 1, 'is_variant': 0}}]",3.56739,False
