auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,6.7,"Our Autumnal brew is made with subtle pumpkin and spice, but its prominent feature is the fresh harvested ""wet-hops"" that are added. New hop strain and selection every year.",74,https://untappd.akamaized.net/site/beer_logos/beer-_64161_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_64161_hd_80da0faf6dacc3e2d2b48ff0dee151.jpeg,Autumnation (2011-2012),sixpoint-brewery-autumnation-2011-2012,Spiced / Herbed Beer,64161,1149,https://untappd.akamaized.net/site/brewery_logos/brewery-SixpointBrewery_1149.jpeg,Sixpoint Brewery,sixpoint-brewery,Micro Brewery,http://www.facebook.com/sixpoint,sixpoint,http://sixpoint.com/,United States,Brooklyn,NY,40.6739,-74.0119,"Wed, 13 Jul 2011 07:11:46 +0000",0,0,64161.0,"Wed, 11 Jun 2014 09:48:55 +0000",13469.0,3284,3.39624,,0,6293,4296,0,,,,,,0.0,[],3.4178,False
0,4.8,"We've been friends with Danny Meyer and the team behind Shake Shack since their early days at the Union Square Cafe. In 2008, shortly before the expansion that would bring their Madison Square Park Shake Shack to the world stage, they came to us and asked if we could create a beer to match their delicious burgers. A job like that would call for a great deal of burger-related research, so we jumped at the opportunity.

A great many ""field trial burgers"" later, we delivered the first kegs of Brooklyn Shackmeister Ale to Madison Square Park. Today, Shacks around the world proudly stock the nobly-purposed ale. We brew Shackmeister Ale as a hearty pale ale with plenty of malts to match the rich, griddled beef in every Shackburger. A bright burst of hops unifies the finish and invites the drinker to take another bite and accompanying sip.",0,https://untappd.akamaized.net/site/beer_logos/beer-13470_2a601_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-13470_f8e8e_hd.jpeg,Shackmeister Ale,brooklyn-brewery-shackmeister-ale,Pale Ale - American,13470,259,https://untappd.akamaized.net/site/brewery_logos/brewery-BrooklynBrewery_259.jpeg,Brooklyn Brewery,brooklyn-brewery,Micro Brewery,https://www.facebook.com/thebrooklynbrewery,brooklynbrewery,http://brooklynbrewery.com,United States,Brooklyn,NY,40.7215,-73.9575,"Wed, 08 Dec 2010 09:52:47 +0000",0,1,,,,11979,3.41988,,427,15451,13685,0,,,,,,0.0,[],3.42562,False
0,9.7,"Strong wheat beer, dark amber. Unfiltered with rich flavors of banana & clove. A holiday favorite! 2006 WBC Silver, 2002 WBC Bronze German-style Weizenbock",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,St. Nick's Weizenbock,sweetwater-tavern-great-american-restaurants-st-nick-s-weizenbock,Weizenbock,13471,3571,https://untappd.akamaized.net/site/brewery_logos/brewery-SweetwaterTavernBreweryVirginia_3571.jpeg,Sweetwater Tavern (Great American Restaurants),sweetwater-tavern-great-american-restaurants,Brew Pub,http://www.facebook.com/pages/Great-American-Restaurants/65913117930,GreatAmerRest,http://www.greatamericanrestaurants.com/sweetMainSter/,United States,Centreville,VA,38.8292,-77.4392,"Wed, 08 Dec 2010 09:53:37 +0000",0,1,,,,440,3.55511,,0,614,498,0,,,,,,0.0,[],3.59432,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Abbey Dubbel,triangle-brewing-company-abbey-dubbel,Belgian Dubbel,254164,1867,https://untappd.akamaized.net/site/brewery_logos/brewery-TriangleBrewingCompany_1867.jpeg,Triangle Brewing Company,triangle-brewing-company,Micro Brewery,,,http://www.trianglebrewery.com/,United States,Durham,NC,35.9965,-78.8894,"Sat, 27 Oct 2012 18:47:55 +0000",0,0,254164.0,"Thu, 02 May 2013 10:07:25 +0000",13472.0,135,3.52222,,0,169,163,0,,,,,,0.0,[],3.59413,False
0,8.1,"Full-bodied Scotch-style ale with a distinct malty-sweet character, light roast with mild fruity aroma and flavor.
Awards: 2008 World Beer Cup Silver Medal; 2004 World Beer Cup Gold Medal; 2001 GABF Bronze Medal;
1998 GABF Bronze Medal",35,https://untappd.akamaized.net/site/beer_logos/beer-13473_56da4_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-13473_e98ac_hd.jpeg,Wee Heavy,iron-hill-brewery-and-restaurant-wee-heavy,Scotch Ale / Wee Heavy,13473,2585,https://untappd.akamaized.net/site/brewery_logos/brewery-IronHillBreweryRestaurant_2585.jpeg,Iron Hill Brewery & Restaurant,iron-hill-brewery-restaurant,Brew Pub,https://www.facebook.com/IronHillBrewery/,ironhillbrewery,http://www.ironhillbrewery.com/,United States,Wilmington,DE,39.753,-75.5776,"Wed, 08 Dec 2010 09:56:37 +0000",0,1,,,,718,3.68141,,15,922,822,0,,,,,,0.0,[],3.67225,False
0,5.1,"Dark rich malts blend with smooth oats to produce a jazzy brew with notes of coffee and chocolate.    Having desert, why not add some decadence and pair it with this beer.",0,https://untappd.akamaized.net/site/beer_logos/beer-ImperialOatmealStout_49791.jpeg,,Black Bottom Oatmeal Stout,black-lotus-brewery-black-bottom-oatmeal-stout,Stout - Oatmeal,49791,7468,https://untappd.akamaized.net/site/brewery_logos/brewery-BlackLotusBrewery_7468.jpeg,Black Lotus Brewery,black-lotus-brewery,Micro Brewery,https://www.facebook.com/black.l.co/,BlackLotusBeer,http://www.blacklotusbrewery.com/,United States,Clawson,MI,42.5336,-83.146,"Thu, 12 May 2011 22:37:09 +0000",0,1,49791.0,"Fri, 22 Mar 2013 16:25:29 +0000",13474.0,1101,3.67757,,28,1535,1219,0,,,,,,0.0,[],3.67178,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Belgian Wit,broken-drum-brewery-belgian-wit,Witbier,13475,3572,https://untappd.akamaized.net/site/brewery_logos/brewery-BrokenDrumBrewery_3572.jpeg,Broken Drum Brewery,broken-drum-brewery,Brew Pub,www.facebook.com/brokendrum,,http://www.brokendrum.com/,United States,San Rafael,CA,37.9733,-122.529,"Wed, 08 Dec 2010 10:03:36 +0000",0,1,,,,0,0.0,,0,0,0,0,,,,,,0.0,[],3.59537,False
0,5.6,"A deep amber colored American ale, featuring a rich malty body. Cascade and Willamette hops add a complex hop flavor and aroma. This ale is exceptionally balanced between malty sweetness and delicate hop bitterness.

IBU: 32
Alcohol content: 5.8% by volume
Hops: Chinook, Willamette and Cascade

Calories per 12 oz. 172.5
Carbs per 12 oz. 17.86",30,https://untappd.akamaized.net/site/beer_logos/beer-_4463_sm_f37d0f13708ef5ceacbc0de959714d.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_4463_hd_3e1de2dda5c989691ecc45bcc5bbba.jpeg,Gaelic Ale,highland-brewing-company-gaelic-ale,Red Ale - American Amber / Red,4463,658,https://untappd.akamaized.net/site/brewery_logos/brewery-HighlandBrewingCo_658.jpeg,Highland Brewing Company,highland-brewing-company,Micro Brewery,https://www.facebook.com/HighlandBrewingCompany,highlandbrews,http://www.highlandbrewing.com,United States,Asheville,NC,35.5711,-82.4982,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,4463.0,"Thu, 01 Jan 1970 00:00:00 +0000",13476.0,48256,3.61835,,1167,80361,54718,0,,,,,,5.0,"[{'beer': {'bid': 177864, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'highland-brewing-company-bourbon-barrel-aged-gaelic', 'beer_name': 'Bourbon Barrel Aged Gaelic', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 893886, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_4463_sm_f37d0f13708ef5ceacbc0de959714d.jpeg', 'beer_slug': 'highland-brewing-company-gaelic-ale-2014', 'beer_name': 'Gaelic Ale (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 912814, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'highland-brewing-company-whiskey-barrel-gaelic', 'beer_name': 'Whiskey Barrel Gaelic', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1032176, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'highland-brewing-company-gaelic-ale-with-white-oak-soaked-in-old-crow', 'beer_name': 'Gaelic Ale (with White Oak Soaked In Old Crow)', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1136586, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'highland-brewing-company-gaelic-ale-with-black-pepper', 'beer_name': 'Gaelic Ale (with Black Pepper)', 'is_vintage': 0, 'is_variant': 1}}]",3.61856,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,ESB,broken-drum-brewery-esb,Extra Special / Strong Bitter,13477,3572,https://untappd.akamaized.net/site/brewery_logos/brewery-BrokenDrumBrewery_3572.jpeg,Broken Drum Brewery,broken-drum-brewery,Brew Pub,www.facebook.com/brokendrum,,http://www.brokendrum.com/,United States,San Rafael,CA,37.9733,-122.529,"Wed, 08 Dec 2010 10:07:15 +0000",0,1,,,,3,0.0,,0,5,5,0,,,,,,0.0,[],3.54827,False
0,0.0,"Dark with aromas of pine and a hint of roasted malt. Brewed with Magnum, Columbus, Amarillo, Simcoe and Cascade hops and dry hopped with Simcoe hops.  High hop bitterness and flavor with a subdued chocolate and roasted malt character.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,India Black Ale,prison-brews-india-black-ale,IPA - Black / Cascadian Dark Ale,13478,3573,https://untappd.akamaized.net/site/brewery_logos/brewery-PrisonBrews_3573.jpeg,Prison Brews,prison-brews,Brew Pub,http://www.facebook.com/pages/Prison-Brews/154595462013,,http://prisonbrews.com/,United States,Jefferson City,MO,38.5686,-92.1615,"Wed, 08 Dec 2010 10:08:40 +0000",0,0,,,,0,0.0,,0,8,1,0,,,,,,0.0,[],3.59537,False
