auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,11.0,"A deep, dark Imperial Stout, The Abyss has almost immeasurable depth and complexity. Hints of molasses, licorice and other alluring flavors make it something not just to quaff, but contemplate. Distinct and delicious on release, the flavors meld and fuse into an entirely different pleasure a year on.",0,https://untappd.akamaized.net/site/beer_logos/beer-deschutesTheAbyss.jpg,,The Abyss (2010),deschutes-brewery-the-abyss-2010,Stout - American Imperial / Double,15007,441,https://untappd.akamaized.net/site/brewery_logos/brewery-441_8b2ad.jpeg,Deschutes Brewery,deschutes-brewery,Micro Brewery,http://www.facebook.com/deschutes.brewery,deschutesbeer,http://www.deschutesbrewery.com,United States,Bend,OR,44.0468,-121.322,,,"Thu, 16 Dec 2010 13:26:44 +0000",0,0,15007.0,"Thu, 01 Jan 1970 00:00:00 +0000",20892.0,4929,4.45024,47,8036,6072,0,,,,,,11.0,The Abyss,deschutes-brewery-the-abyss,320527.0,86.0,,,4.40366,False
0,18.0,"Brewed with a ridiculous amount of barley, World Wide Stout is dark, rich, roasty and complex. This ageable ale clocks in at 15-20% ABV and has a depth more in line with a fine port than with a can of cheap, mass-marketed beer.",70,https://untappd.akamaized.net/site/beer_logos/beer-dfhWWS.jpg,,World Wide Stout,dogfish-head-craft-brewery-world-wide-stout,Stout - American Imperial / Double,6730,459,https://untappd.akamaized.net/site/brewery_logos/brewery-459_b3e4d.jpeg,Dogfish Head Craft Brewery,dogfish-head-craft-brewery,Micro Brewery,http://www.facebook.com/dogfishheadbeer,dogfishbeer,http://www.dogfish.com/,United States,Milton,DE,38.7776,-75.3099,,,"Fri, 22 Oct 2010 05:30:34 +0000",0,1,6730.0,"Thu, 01 Jan 1970 00:00:00 +0000",20893.0,39426,4.26107,1476,52287,44334,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 51329, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-WorldWideStout2010_51329.jpeg', 'beer_slug': 'dogfish-head-craft-brewery-world-wide-stout-2010', 'beer_name': 'World Wide Stout (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 58469, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-WorldWideStout2009_58469.jpeg', 'beer_slug': 'dogfish-head-craft-brewery-world-wide-stout-2009', 'beer_name': 'World Wide Stout (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 63726, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-dfhWWS.jpg', 'beer_slug': 'dogfish-head-craft-brewery-world-wide-stout-2003', 'beer_name': 'World Wide Stout (2003)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 63733, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-dfhWWS.jpg', 'beer_slug': 'dogfish-head-craft-brewery-world-wide-stout-2004', 'beer_name': 'World Wide Stout (2004)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 63738, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-dfhWWS.jpg', 'beer_slug': 'dogfish-head-craft-brewery-world-wide-stout-2005', 'beer_name': 'World Wide Stout (2005)', 'is_vintage': 1, 'is_variant': 0}}]",4.25638,False
0,10.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Master Blaster,bullfrog-brewery-master-blaster,Stout - American Imperial / Double,20895,319,https://untappd.akamaized.net/site/brewery_logos/brewery-BullfrogBrewery_319.jpeg,Bullfrog Brewery,bullfrog-brewery,Micro Brewery,http://www.facebook.com/thebullfrogbrewery,BullfrogBrewery,http://www.bullfrogbrewery.com/,United States,Williamsport,PA,41.2404,-77.0057,,,"Tue, 04 Jan 2011 04:19:53 +0000",0,1,,,,2,0.0,0,6,6,0,,,,,,,,,,,0.0,[],3.6026,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Ramuan Cinta,madu-dan-racun-co-ltd-ramuan-cinta,Belgian Quad,20897,5926,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Madu dan Racun Co. Ltd,madu-dan-racun-co-ltd,Micro Brewery,,,,Malaysia,,,0.0,0.0,,,"Tue, 04 Jan 2011 04:22:27 +0000",0,1,,,,0,0.0,0,6,6,0,,,,,,,,,,,0.0,[],3.59537,False
0,10.25,"Terrapin ?Big Daddy Vlady?s? Russian Imperial Stout is number 13 in our Side Project Series of beers. Brewed under the strictest Socialist guidelines, the Imperialistic Stout will be carefully monitored and allocated accordingly. Black as the coldest Siberian Winter?s night, the colossal, viscous beverage will bring the hammer and sickle down on your little girly man?s plate.",0,https://untappd.akamaized.net/site/beer_logos/beer-BigDaddyVladysRussianImperialStout_14203.jpeg,,Big Daddy Vlady's Russian Imperial Stout,terrapin-beer-co-big-daddy-vlady-s-russian-imperial-stout,Stout - Russian Imperial,14203,1243,https://untappd.akamaized.net/site/brewery_logos/brewery-1243_f9dda.jpeg,Terrapin Beer Co. ,terrapin-beer-co,Micro Brewery,http://www.facebook.com/terrapinbeerco,TerrapinBeerCo,http://terrapinbeer.com/,United States,Athens,GA,33.9804,-83.3957,,,"Sat, 11 Dec 2010 12:02:42 +0000",0,0,14203.0,"Thu, 01 Jan 1970 00:00:00 +0000",20898.0,411,3.9781,0,811,698,0,,,,,,,,,,,0.0,[],3.83837,False
0,9.0,"As black and deep as the period of the same name, the Grande Noirceur is a stout with intense aromas and imposing roasted malt aromas.  On the palate, pronounced bitterness is balanced by a malted-caramelized side, discreetly supported by the presence of alcohol. ---

D?un noir aussi profond que la p?riode du m?me nom, la Grande Noirceur est un stout aux ar?mes intenses et auxgo?ts de torr?faction imposants. En bouche, l?amertume prononc?e est balanc?e par un c?t? malt?-caram?lis?, discr?tement soutenu par la pr?sence de l?alcool.",0,https://untappd.akamaized.net/site/beer_logos/beer-20902_2822c_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-20902_872b8_hd.jpeg,Grande Noirceur,brasserie-dieu-du-ciel-grande-noirceur,Stout - American Imperial / Double,20902,1674,https://untappd.akamaized.net/site/brewery_logos/brewery-1674_733d8.jpeg,Brasserie Dieu du Ciel!,brasserie-dieu-du-ciel,Micro Brewery,http://www.facebook.com/pages/Brasserie-Dieu-du-Ciel-la-page-officielle/104295439644026,Brasseries_DDC,http://dieuduciel.com/,Canada,St-J?r?me,QC,45.7752,-74.0016,,,"Tue, 04 Jan 2011 04:26:43 +0000",0,1,,,,7874,3.9252,284,9934,8532,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 1350547, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1350547_45e47_sm.jpeg', 'beer_slug': 'brasserie-dieu-du-ciel-grande-noirceur-2012', 'beer_name': 'Grande Noirceur (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1361406, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1361406_28795_sm.jpeg', 'beer_slug': 'brasserie-dieu-du-ciel-grande-noirceur-2014', 'beer_name': 'Grande Noirceur (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1368359, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1368359_93c54_sm.jpeg', 'beer_slug': 'brasserie-dieu-du-ciel-grande-noirceur-2013', 'beer_name': 'Grande Noirceur (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1374904, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1374904_e718d_sm.jpeg', 'beer_slug': 'brasserie-dieu-du-ciel-grande-noirceur-2015', 'beer_name': 'Grande Noirceur (2015)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1805189, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1805189_2d9e7_sm.jpeg', 'beer_slug': 'brasserie-dieu-du-ciel-grande-noirceur-2016', 'beer_name': 'Grande Noirceur (2016)', 'is_vintage': 1, 'is_variant': 0}}]",3.91497,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Selangoration,sobbernation-intl-selangoration,Stout - Russian Imperial,20903,5930,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Sobbernation Intl,sobbernation-intl,Micro Brewery,,,,Malaysia,,,0.0,0.0,,,"Tue, 04 Jan 2011 04:27:26 +0000",0,1,,,,0,0.0,0,1,1,0,,,,,,,,,,,0.0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Sobbernation Intl,sobbernation-intl-sobbernation-intl,Belgian Strong Dark Ale,20904,5930,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Sobbernation Intl,sobbernation-intl,Micro Brewery,,,,Malaysia,,,0.0,0.0,,,"Tue, 04 Jan 2011 04:28:53 +0000",0,1,,,,0,0.0,0,1,1,0,,,,,,,,,,,0.0,[],3.59537,False
0,5.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,kfC Pumpkin Stout,bullfrog-brewery-kfc-pumpkin-stout,Spiced / Herbed Beer,20905,319,https://untappd.akamaized.net/site/brewery_logos/brewery-BullfrogBrewery_319.jpeg,Bullfrog Brewery,bullfrog-brewery,Micro Brewery,http://www.facebook.com/thebullfrogbrewery,BullfrogBrewery,http://www.bullfrogbrewery.com/,United States,Williamsport,PA,41.2404,-77.0057,,,"Tue, 04 Jan 2011 04:29:34 +0000",0,1,,,,2,0.0,0,5,5,0,,,,,,,,,,,0.0,[],3.57385,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Mirasantika,madu-dan-racun-co-ltd-mirasantika,Pumpkin / Yam Beer,20906,5926,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Madu dan Racun Co. Ltd,madu-dan-racun-co-ltd,Micro Brewery,,,,Malaysia,,,0.0,0.0,,,"Tue, 04 Jan 2011 04:30:57 +0000",0,1,,,,0,0.0,0,8,8,0,,,,,,,,,,,0.0,[],3.59537,False
