auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,4.5,"2007 Maryland Governor's Cup Winner!
This one has something for everyone. A deep copper colored ale with just the right amount of malt to complement the dosing of hops. A true beer lover's beer. 
",0,https://untappd.akamaized.net/site/beer_logos/beer-SomethingRed_22179.jpeg,,Something Red,white-marsh-brewing-company-something-red,Red Ale - American Amber / Red,22179,1357,https://untappd.akamaized.net/site/brewery_logos/brewery-WhiteMarshBrewingCompany_1357_37d9d.jpeg,White Marsh Brewing Company,white-marsh-brewing-company,Brew Pub,http://www.facebook.com/pages/Red-Brick-Station/53718246611,,http://www.redbrickstation.com/,United States,White Marsh,MD,39.3737,-76.4615,,,"Fri, 07 Jan 2011 01:27:42 +0000",0,1,,,,1081,3.42761,,15,1659,1248,0,,,,,,0.0,[],3.47676,False
0,4.5,"A true Irish Ale for those of you who are brave enough to get into the darker beers. Spooners' has a full roasted malt flavor and a perfect balance between the hops and malt. It's smooth as silk going down and is sure to please.
",0,https://untappd.akamaized.net/site/beer_logos/beer-SpoonersStout_22180.jpeg,,Spooners' Stout,white-marsh-brewing-company-spooners-stout,Stout - Irish Dry,22180,1357,https://untappd.akamaized.net/site/brewery_logos/brewery-WhiteMarshBrewingCompany_1357_37d9d.jpeg,White Marsh Brewing Company,white-marsh-brewing-company,Brew Pub,http://www.facebook.com/pages/Red-Brick-Station/53718246611,,http://www.redbrickstation.com/,United States,White Marsh,MD,39.3737,-76.4615,,,"Fri, 07 Jan 2011 01:28:39 +0000",0,1,,,,867,3.36102,,10,1282,1025,0,,,,,,0.0,[],3.43647,False
0,5.0,"Clear gold with a white small head. Smells of grain and pale malt with citrus and light hops. Crisp. Light watery body with soft carbonation. Moderate sweetness with corn, grass and a light citrus.",0,https://untappd.akamaized.net/site/beer_logos/beer-5992_1a751_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5992_f50cf_hd.jpeg,Steinlager Classic,new-zealand-breweries-limited-steinlager-classic,Lager - Pale,5992,911,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,New Zealand Breweries Limited,new-zealand-breweries-limited,Macro Brewery,,,http://www.lionco.com/,New Zealand,,,-25.4494,146.75,,,"Sat, 02 Oct 2010 22:14:57 +0000",0,1,5992.0,"Sun, 18 Dec 2011 19:52:30 +0000",22181.0,6437,2.94644,,118,9688,7561,0,,,,,,0.0,[],2.97831,False
0,3.7,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Thorny Histle,white-marsh-brewing-company-thorny-histle,Scottish Ale,22182,1357,https://untappd.akamaized.net/site/brewery_logos/brewery-WhiteMarshBrewingCompany_1357_37d9d.jpeg,White Marsh Brewing Company,white-marsh-brewing-company,Brew Pub,http://www.facebook.com/pages/Red-Brick-Station/53718246611,,http://www.redbrickstation.com/,United States,White Marsh,MD,39.3737,-76.4615,,,"Fri, 07 Jan 2011 01:29:48 +0000",0,1,,,,2,0.0,,0,3,3,0,,,,,,0.0,[],3.56383,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-SteinlagerPure_22183.jpeg,,Steinlager Pure,new-zealand-breweries-limited-steinlager-pure,Lager - Pale,22183,911,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,New Zealand Breweries Limited,new-zealand-breweries-limited,Macro Brewery,,,http://www.lionco.com/,New Zealand,,,-25.4494,146.75,,,"Fri, 07 Jan 2011 01:33:12 +0000",0,1,,,,6365,3.01783,,128,10136,7431,0,,,,,,0.0,[],3.04678,False
0,2.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Steinlager Premium Light,new-zealand-breweries-limited-steinlager-premium-light,Lager - Pale,22184,911,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,New Zealand Breweries Limited,new-zealand-breweries-limited,Macro Brewery,,,http://www.lionco.com/,New Zealand,,,-25.4494,146.75,,,"Fri, 07 Jan 2011 01:36:43 +0000",0,1,,,,196,2.36607,,1,326,287,0,,,,,,0.0,[],3.14913,False
0,5.0,"Clear gold with a white small head. Smells of grain and pale malt with citrus and light hops. Crisp. Light watery body with soft carbonation. Moderate sweetness with corn, grass and a light citrus.",0,https://untappd.akamaized.net/site/beer_logos/beer-5992_1a751_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5992_f50cf_hd.jpeg,Steinlager Classic,new-zealand-breweries-limited-steinlager-classic,Lager - Pale,5992,911,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,New Zealand Breweries Limited,new-zealand-breweries-limited,Macro Brewery,,,http://www.lionco.com/,New Zealand,,,-25.4494,146.75,,,"Sat, 02 Oct 2010 22:14:57 +0000",0,1,5992.0,"Sun, 18 Dec 2011 19:52:30 +0000",22185.0,6437,2.94644,,118,9688,7561,0,,,,,,0.0,[],2.97831,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Fleur Delacour,le-moulin-de-saint-martin-fleur-delacour,Cider,22186,5447,https://untappd.akamaized.net/site/brewery_logos/brewery-5447_d3692.jpeg,Le Moulin de Saint-Martin ,le-moulin-de-saint-martin,Micro Brewery,https://m.facebook.com/index.php?src=email_notif#!/Moulin-de-Saint-Martin-Brasserie-290895797639834,,www.lemoulindesaintmartin.com,France,Saint-Martin-de-Bossenay,Aube,48.4461,3.68792,,,"Fri, 07 Jan 2011 01:38:32 +0000",0,1,,,,0,0.0,,0,4,4,0,,,,,,0.0,[],3.59537,False
0,5.0,"Clear gold with a white small head. Smells of grain and pale malt with citrus and light hops. Crisp. Light watery body with soft carbonation. Moderate sweetness with corn, grass and a light citrus.",0,https://untappd.akamaized.net/site/beer_logos/beer-5992_1a751_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5992_f50cf_hd.jpeg,Steinlager Classic,new-zealand-breweries-limited-steinlager-classic,Lager - Pale,5992,911,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,New Zealand Breweries Limited,new-zealand-breweries-limited,Macro Brewery,,,http://www.lionco.com/,New Zealand,,,-25.4494,146.75,,,"Sat, 02 Oct 2010 22:14:57 +0000",0,1,5992.0,"Sun, 18 Dec 2011 19:52:30 +0000",22187.0,6437,2.94644,,118,9688,7561,0,,,,,,0.0,[],2.97831,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-MontiethsSingleSource_88888.jpeg,,Single Source,monteiths-brewing-co-db-breweries-single-source,Blonde Lager,88888,881,https://untappd.akamaized.net/site/brewery_logos/brewery-881_bf04f.jpeg,Monteith's Brewing Co. ,monteith-s-brewing-co,Micro Brewery,https://www.facebook.com/Monteiths,monteithsnz,http://www.monteiths.co.nz,New Zealand,Greymouth,"West Coast, South Island",-42.4517,171.207,,,"Sun, 16 Oct 2011 06:08:42 +0000",0,1,88888.0,"Fri, 01 Jun 2012 01:07:38 +0000",22190.0,0,0.0,True,0,0,0,0,,,,,,0.0,[],0.0,False
